Date,Year,Month,Month_Name,Week,Day_Of_Week,Day_Name,Is_Weekend,Special_Event,Is_Special_Event,Is_OSU_Football,Is_Holiday,Group_Rooms_On_Books,Group_Events_Inhouse,Transient_Rooms_Available,Transient_Demand_Unconstrained,Transient_Rooms_Sold,Transient_Rooms_Turned_Away,Transient_ADR,Transient_Occ_Of_Available,Transient_Revenue,Transient_Yield_Pct,Total_Rooms_Sold,Rooms_to_Capacity,Total_Occupancy_Pct,Transient_RevPAR,Displacement_Cost_Per_Room,Total_Displacement_Cost,Displacement_Pressure,Demand_Tier,Demand_Tier_3,Rate_Strategy,Market_Occ_Pct,Market_ADR,ADR_Index,Market_RevPAR,Transient_Pace_7d,Transient_Pace_14d,Transient_Pace_30d,Pace_Index,Pace_vs_Prior_Year,Pace_Status
2023-01-15,2023,1,Jan,2,6,Sunday,1,,0,0,0,122,2,98,54,54,0,134.55,55.1,7265.7,55.1,176,44,80.0,33.03,134.55,16415.1,Low,Soft,Low,Promotional,76.3,123.63,1.088,94.33,77.9,64.7,64.6,1.206,,
2023-01-16,2023,1,Jan,3,0,Monday,0,,0,0,0,0,0,220,129,129,0,138.63,58.6,17883.27,58.6,129,91,58.6,81.29,138.63,0.0,Low,Moderate,Shoulder,Standard,56.1,131.76,1.052,73.92,96.3,70.0,68.6,1.404,,
2023-01-17,2023,1,Jan,3,1,Tuesday,0,,0,0,0,0,0,220,138,138,0,149.87,62.7,20682.06,62.7,138,82,62.7,94.01,149.87,0.0,Low,Moderate,Shoulder,Standard,58.6,144.8,1.035,84.85,108.1,79.9,72.7,1.487,,
2023-01-18,2023,1,Jan,3,2,Wednesday,0,,0,0,0,48,1,172,141,141,0,154.27,82.0,21752.07,82.0,189,31,85.9,98.87,154.27,7404.96,Low,Moderate,Shoulder,Standard,80.1,140.15,1.101,112.26,109.7,89.9,76.5,1.434,,
2023-01-19,2023,1,Jan,3,3,Thursday,0,,0,0,0,48,1,172,130,130,0,151.19,75.6,19654.7,75.6,178,42,80.9,89.34,151.19,7257.12,Low,Moderate,Shoulder,Standard,76.5,139.4,1.085,106.64,110.3,91.4,79.3,1.391,,
2023-01-20,2023,1,Jan,3,4,Friday,0,,0,0,0,0,0,220,91,91,0,140.53,41.4,12788.23,41.4,91,129,41.4,58.13,140.53,0.0,Low,Low,Low,Promotional,39.9,134.31,1.046,53.59,110.9,91.9,79.9,1.388,,
2023-01-21,2023,1,Jan,3,5,Saturday,1,,0,0,0,83,1,137,99,99,0,141.6,72.3,14018.4,72.3,182,38,82.7,63.72,141.6,11752.8,Low,Low,Low,Promotional,76.3,128.22,1.104,97.83,111.7,93.3,80.8,1.382,,
2023-01-22,2023,1,Jan,3,6,Sunday,1,,0,0,0,83,1,137,57,57,0,123.48,41.6,7038.36,41.6,140,80,63.6,31.99,123.48,10248.84,Low,Soft,Low,Promotional,61.6,118.13,1.045,72.77,112.1,95.0,79.7,1.407,,
2023-01-23,2023,1,Jan,4,0,Monday,0,,0,0,0,76,3,144,114,114,0,136.91,79.2,15607.74,79.2,190,30,86.4,70.94,136.91,10405.16,Low,Low,Low,Promotional,80.4,125.18,1.094,100.64,110.0,103.1,81.2,1.355,,
2023-01-24,2023,1,Jan,4,1,Tuesday,0,,0,0,0,63,2,157,131,131,0,165.22,83.4,21643.82,83.4,194,26,88.2,98.38,165.22,10408.86,Low,Moderate,Shoulder,Standard,81.4,150.78,1.096,122.73,109.0,108.6,83.3,1.309,,
2023-01-25,2023,1,Jan,4,2,Wednesday,0,,0,0,0,0,0,220,131,131,0,148.91,59.5,19507.21,59.5,131,89,59.5,88.67,148.91,0.0,Low,Moderate,Shoulder,Standard,55.0,144.28,1.032,79.35,107.6,108.6,85.2,1.263,,
2023-01-26,2023,1,Jan,4,3,Thursday,0,,0,0,0,15,1,205,107,107,0,152.43,52.2,16310.01,52.2,122,98,55.5,74.14,152.43,2286.45,Low,Low,Low,Promotional,52.6,145.56,1.047,76.56,104.3,107.3,86.0,1.213,,
2023-01-27,2023,1,Jan,4,4,Friday,0,,0,0,0,15,1,205,96,96,0,143.21,46.8,13748.16,46.8,111,109,50.5,62.49,143.21,2148.15,Low,Low,Low,Promotional,46.5,127.14,1.126,59.12,105.0,107.9,86.4,1.215,,
2023-01-28,2023,1,Jan,4,5,Saturday,1,,0,0,0,0,0,220,94,94,0,146.18,42.7,13740.92,42.7,94,126,42.7,62.46,146.18,0.0,Low,Low,Low,Promotional,39.6,133.59,1.094,52.9,104.3,108.0,86.7,1.203,,
2023-01-29,2023,1,Jan,4,6,Sunday,1,,0,0,0,58,2,162,53,53,0,137.09,32.7,7265.77,32.7,111,109,50.5,33.03,137.09,7951.22,Low,Soft,Low,Promotional,48.2,128.53,1.067,61.95,103.7,107.9,85.5,1.213,,
2023-01-30,2023,1,Jan,5,0,Monday,0,,0,0,0,160,2,60,124,60,64,144.95,100.0,8697.0,100.0,220,0,100.0,39.53,144.95,23192.0,High,Moderate,Shoulder,Standard,96.2,134.28,1.079,129.18,96.0,103.0,84.7,1.133,,
2023-01-31,2023,1,Jan,5,1,Tuesday,0,,0,0,0,136,2,84,125,84,41,160.7,100.0,13498.8,100.0,220,0,100.0,61.36,160.7,21855.2,High,Moderate,Shoulder,Standard,96.9,145.08,1.108,140.58,89.3,99.1,85.4,1.046,,
2023-02-01,2023,2,Feb,5,2,Wednesday,0,,0,0,0,154,3,66,161,66,95,172.93,100.0,11413.38,100.0,220,0,100.0,51.88,172.93,26631.22,High,High,Peak,Rack,95.4,152.88,1.131,145.85,80.0,93.8,85.7,0.933,,
2023-02-02,2023,2,Feb,5,3,Thursday,0,,0,0,0,23,1,197,121,121,0,151.88,61.4,18377.48,61.4,144,76,65.5,83.53,151.88,3493.24,Low,Moderate,Shoulder,Standard,62.2,136.61,1.112,84.97,82.0,93.1,89.8,0.913,,
2023-02-03,2023,2,Feb,5,4,Friday,0,,0,0,0,11,1,209,114,114,0,145.0,54.5,16530.0,54.5,125,95,56.8,75.14,145.0,1595.0,Low,Low,Low,Promotional,54.7,132.68,1.093,72.58,84.6,94.8,93.6,0.904,,
2023-02-04,2023,2,Feb,5,5,Saturday,1,,0,0,0,118,2,102,109,102,7,164.57,100.0,16786.14,100.0,220,0,100.0,76.3,164.57,19419.26,Low,Low,Low,Promotional,94.8,152.43,1.08,144.5,85.7,95.0,93.3,0.919,,
2023-02-05,2023,2,Feb,5,6,Sunday,1,,0,0,0,46,1,174,68,68,0,135.38,39.1,9205.84,39.1,114,106,51.8,41.84,135.38,6227.48,Low,Soft,Low,Promotional,50.2,119.53,1.133,60.0,87.9,95.8,92.8,0.947,,
2023-02-06,2023,2,Feb,6,0,Monday,0,,0,0,0,82,2,138,143,138,5,156.04,100.0,21533.52,100.0,220,0,100.0,97.88,156.04,12795.28,Low,Moderate,Shoulder,Standard,96.5,143.48,1.088,138.46,99.0,97.5,94.7,1.045,,
2023-02-07,2023,2,Feb,6,1,Tuesday,0,,0,0,0,0,0,220,157,157,0,151.51,71.4,23787.07,71.4,157,63,71.4,108.12,151.51,0.0,Low,Moderate,Shoulder,Standard,66.9,136.44,1.11,91.28,109.4,99.4,98.9,1.106,,
2023-02-08,2023,2,Feb,6,2,Wednesday,0,,0,0,0,0,0,220,163,163,0,155.36,74.1,25323.68,74.1,163,57,74.1,115.11,155.36,0.0,Low,High,Peak,Rack,71.3,150.47,1.032,107.29,123.3,101.6,104.3,1.182,,
2023-02-09,2023,2,Feb,6,3,Thursday,0,,0,0,0,130,2,90,134,90,44,155.59,100.0,14003.1,100.0,220,0,100.0,63.65,155.59,20226.7,High,Moderate,Shoulder,Standard,95.0,142.68,1.09,135.55,118.9,100.4,105.5,1.127,,
2023-02-10,2023,2,Feb,6,4,Friday,0,,0,0,0,100,1,120,111,111,0,157.51,92.5,17483.61,92.5,211,9,95.9,79.47,157.51,15751.0,Low,Low,Low,Promotional,88.5,151.63,1.039,134.19,118.4,101.5,104.8,1.13,,
2023-02-11,2023,2,Feb,6,5,Saturday,1,,0,0,0,166,3,54,97,54,43,163.48,100.0,8827.92,100.0,220,0,100.0,40.13,163.48,27137.68,High,Low,Low,Promotional,95.5,149.85,1.091,143.11,111.6,98.6,102.4,1.09,,
2023-02-12,2023,2,Feb,6,6,Sunday,1,,0,0,0,84,2,136,69,69,0,136.43,50.7,9413.67,50.7,153,67,69.5,42.79,136.43,11460.12,Low,Soft,Low,Promotional,66.7,127.49,1.07,85.04,111.7,99.8,101.8,1.097,,
2023-02-13,2023,2,Feb,7,0,Monday,0,,0,0,0,18,1,202,134,134,0,135.52,66.3,18159.68,66.3,152,68,69.1,82.54,135.52,2439.36,Low,Moderate,Shoulder,Standard,65.9,129.18,1.049,85.13,111.1,105.1,103.2,1.077,,
2023-02-14,2023,2,Feb,7,1,Tuesday,0,,0,0,0,18,1,202,134,134,0,155.8,66.3,20877.2,66.3,152,68,69.1,94.9,155.8,2804.4,Low,Moderate,Shoulder,Standard,64.2,142.58,1.093,91.54,107.9,108.6,105.9,1.019,,
2023-02-15,2023,2,Feb,7,2,Wednesday,0,,0,0,0,193,4,27,142,27,115,166.92,100.0,4506.84,100.0,220,0,100.0,20.49,166.92,32215.56,High,Moderate,Shoulder,Standard,96.6,151.12,1.105,145.98,88.4,105.9,102.5,0.862,,
2023-02-16,2023,2,Feb,7,3,Thursday,0,,0,0,0,220,3,0,141,0,141,160.59,0.0,0.0,,220,0,100.0,0.0,160.59,35329.8,Sold Out,Moderate,Shoulder,Standard,94.5,152.79,1.051,144.39,75.6,97.2,97.9,0.772,,
2023-02-17,2023,2,Feb,7,4,Friday,0,,0,0,0,151,2,69,96,69,27,148.4,100.0,10239.6,100.0,220,0,100.0,46.54,148.4,22408.4,Medium,Low,Low,Promotional,95.6,140.84,1.054,134.64,69.6,94.0,95.5,0.729,,
2023-02-18,2023,2,Feb,7,5,Saturday,1,,0,0,0,125,2,95,112,95,17,162.45,100.0,15432.75,100.0,220,0,100.0,70.15,162.45,20306.25,Medium,Low,Low,Promotional,96.4,153.38,1.059,147.86,75.4,93.5,94.3,0.8,,
2023-02-19,2023,2,Feb,7,6,Sunday,1,,0,0,0,50,1,170,61,61,0,140.44,35.9,8566.84,35.9,111,109,50.5,38.94,140.44,7022.0,Low,Soft,Low,Promotional,47.9,134.73,1.042,64.54,74.3,93.0,93.3,0.796,,
2023-02-20,2023,2,Feb,8,0,Monday,0,,0,0,0,34,1,186,122,122,0,142.62,65.6,17399.64,65.6,156,64,70.9,79.09,142.62,4849.08,Low,Moderate,Shoulder,Standard,68.3,137.91,1.034,94.19,72.6,91.9,94.1,0.772,,
2023-02-21,2023,2,Feb,8,1,Tuesday,0,,0,0,0,68,2,152,135,135,0,153.04,88.8,20660.4,88.8,203,17,92.3,93.91,153.04,10406.72,Low,Moderate,Shoulder,Standard,86.4,146.05,1.048,126.19,72.7,90.3,96.7,0.752,,
2023-02-22,2023,2,Feb,8,2,Wednesday,0,,0,0,0,0,0,220,154,154,0,156.39,70.0,24084.06,70.0,154,66,70.0,109.47,156.39,0.0,Low,Moderate,Shoulder,Standard,66.2,142.25,1.099,94.17,90.9,89.6,98.0,0.928,,
2023-02-23,2023,2,Feb,8,3,Thursday,0,,0,0,0,0,0,220,119,119,0,151.67,54.1,18048.73,54.1,119,101,54.1,82.04,151.67,0.0,Low,Moderate,Shoulder,Standard,51.1,139.15,1.09,71.11,107.9,91.7,97.6,1.106,,
2023-02-24,2023,2,Feb,8,4,Friday,0,,0,0,0,0,0,220,100,100,0,145.56,45.5,14556.0,45.5,100,120,45.5,66.16,145.56,0.0,Low,Low,Low,Promotional,43.0,138.78,1.049,59.68,112.3,90.9,96.6,1.163,,
2023-02-25,2023,2,Feb,8,5,Saturday,1,,0,0,0,43,2,177,109,109,0,149.41,61.6,16285.69,61.6,152,68,69.1,74.03,149.41,6424.63,Low,Low,Low,Promotional,65.1,137.06,1.09,89.23,114.3,94.9,96.6,1.183,,
2023-02-26,2023,2,Feb,8,6,Sunday,1,,0,0,0,153,2,67,66,66,0,149.19,98.5,9846.54,98.5,219,1,99.5,44.76,149.19,22826.07,Low,Soft,Low,Promotional,95.3,140.12,1.065,133.53,115.0,94.6,95.6,1.203,,
2023-02-27,2023,2,Feb,9,0,Monday,0,,0,0,0,220,4,0,131,0,131,163.41,0.0,0.0,,220,0,100.0,0.0,163.41,35950.2,Sold Out,Moderate,Shoulder,Standard,92.5,144.05,1.134,133.25,97.6,85.1,92.5,1.055,,
2023-02-28,2023,2,Feb,9,1,Tuesday,0,,0,0,0,220,3,0,164,0,164,168.28,0.0,0.0,,220,0,100.0,0.0,168.28,37021.6,Sold Out,High,Peak,Rack,94.5,163.22,1.031,154.24,78.3,75.5,90.7,0.863,,
2023-03-01,2023,3,Mar,9,2,Wednesday,0,,0,0,0,196,2,24,157,24,133,177.57,100.0,4261.68,100.0,220,0,100.0,19.37,177.57,34803.72,High,Moderate,Shoulder,Standard,92.4,162.48,1.093,150.13,59.7,75.3,89.5,0.667,,
2023-03-02,2023,3,Mar,9,3,Thursday,0,Arnold Sports Festival,1,0,0,155,2,65,218,65,153,195.69,100.0,12719.85,100.0,220,0,100.0,57.82,195.69,30331.95,High,Peak,Peak,Premium_Event,93.9,177.64,1.102,166.8,52.0,79.9,88.9,0.585,,
2023-03-03,2023,3,Mar,9,4,Friday,0,Arnold Sports Festival,1,0,0,64,1,156,218,156,62,202.34,100.0,31565.04,100.0,220,0,100.0,143.48,202.34,12949.76,High,Peak,Peak,Premium_Event,97.0,179.72,1.126,174.33,60.0,86.1,91.9,0.653,,
2023-03-04,2023,3,Mar,9,5,Saturday,1,Arnold Sports Festival,1,0,0,0,0,220,218,218,0,189.38,99.1,41284.84,99.1,218,2,99.1,187.66,189.38,0.0,Low,Peak,Peak,Premium_Event,95.7,174.27,1.087,166.78,75.6,94.9,95.1,0.795,,
2023-03-05,2023,3,Mar,9,6,Sunday,1,Arnold Sports Festival,1,0,0,0,0,220,218,218,0,179.49,99.1,39128.82,99.1,218,2,99.1,177.86,179.49,0.0,Low,Peak,Peak,Premium_Event,92.9,164.12,1.094,152.47,97.3,106.1,98.6,0.987,,
2023-03-06,2023,3,Mar,10,0,Monday,0,,0,0,0,142,2,78,152,78,74,150.18,100.0,11714.04,100.0,220,0,100.0,53.25,150.18,21325.56,High,Moderate,Shoulder,Standard,96.5,137.14,1.095,132.34,108.4,103.0,97.8,1.108,,
2023-03-07,2023,3,Mar,10,1,Tuesday,0,,0,0,0,142,2,78,163,78,85,180.43,100.0,14073.54,100.0,220,0,100.0,63.97,180.43,25621.06,High,High,Peak,Rack,96.1,166.18,1.086,159.7,119.6,98.9,98.1,1.219,,
2023-03-08,2023,3,Mar,10,2,Wednesday,0,,0,0,0,62,1,158,155,155,0,176.36,98.1,27335.8,98.1,217,3,98.6,124.25,176.36,10934.32,Low,Moderate,Shoulder,Standard,92.8,163.58,1.078,151.8,138.3,99.0,98.7,1.401,,
2023-03-09,2023,3,Mar,10,3,Thursday,0,,0,0,0,158,3,62,142,62,80,178.76,100.0,11083.12,100.0,220,0,100.0,50.38,178.76,28244.08,High,Moderate,Shoulder,Standard,95.9,172.71,1.035,165.63,137.9,94.9,95.5,1.444,,
2023-03-10,2023,3,Mar,10,4,Friday,0,,0,0,0,143,2,77,116,77,39,163.21,100.0,12567.17,100.0,220,0,100.0,57.12,163.21,23339.03,High,Moderate,Shoulder,Standard,93.1,147.98,1.103,137.77,126.6,93.3,92.7,1.366,,
2023-03-11,2023,3,Mar,10,5,Saturday,1,,0,0,0,123,2,97,115,97,18,172.44,100.0,16726.68,100.0,220,0,100.0,76.03,172.44,21210.12,Medium,Moderate,Shoulder,Standard,93.6,163.78,1.053,153.3,109.3,92.4,92.9,1.177,,
2023-03-12,2023,3,Mar,10,6,Sunday,1,,0,0,0,0,0,220,72,72,0,145.89,32.7,10504.08,32.7,72,148,32.7,47.75,145.89,0.0,Low,Low,Low,Promotional,30.6,141.11,1.034,43.18,88.4,92.9,91.6,0.965,,
2023-03-13,2023,3,Mar,11,0,Monday,0,,0,0,0,0,0,220,146,146,0,157.02,66.4,22924.92,66.4,146,74,66.4,104.2,157.02,0.0,Low,Moderate,Shoulder,Standard,62.3,148.8,1.055,92.7,98.1,103.3,94.7,1.036,,
2023-03-14,2023,3,Mar,11,1,Tuesday,0,,0,0,0,0,0,220,154,154,0,167.53,70.0,25799.62,70.0,154,66,70.0,117.27,167.53,0.0,Low,Moderate,Shoulder,Standard,64.4,147.72,1.134,95.13,109.0,114.3,97.5,1.118,,
2023-03-15,2023,3,Mar,11,2,Wednesday,0,,0,0,0,150,4,70,165,70,95,172.19,100.0,12053.3,100.0,220,0,100.0,54.79,172.19,25828.5,High,High,Peak,Rack,93.4,164.79,1.045,153.91,96.9,117.6,95.4,1.016,,
2023-03-16,2023,3,Mar,11,3,Thursday,0,,0,0,0,81,2,139,171,139,32,172.95,100.0,24040.05,100.0,220,0,100.0,109.27,172.95,14008.95,High,High,Peak,Rack,94.3,153.06,1.13,144.34,107.9,122.9,95.5,1.13,,
2023-03-17,2023,3,Mar,11,4,Friday,0,,0,0,0,190,4,30,108,30,78,162.13,100.0,4863.9,100.0,220,0,100.0,22.11,162.13,30804.7,High,Low,Low,Promotional,92.9,152.85,1.061,142.0,101.1,113.9,95.6,1.058,,
2023-03-18,2023,3,Mar,11,5,Saturday,1,,0,0,0,49,2,171,125,125,0,157.46,73.1,19682.5,73.1,174,46,79.1,89.47,157.46,7715.54,Low,Moderate,Shoulder,Standard,74.8,143.94,1.094,107.67,105.1,107.2,99.8,1.053,,
2023-03-19,2023,3,Mar,11,6,Sunday,1,,0,0,0,214,3,6,72,6,66,158.91,100.0,953.46,100.0,220,0,100.0,4.33,158.91,34006.74,High,Low,Low,Promotional,95.2,149.24,1.065,142.08,95.7,92.1,97.7,0.98,,
2023-03-20,2023,3,Mar,12,0,Monday,0,,0,0,0,175,2,45,139,45,94,169.12,100.0,7610.4,100.0,220,0,100.0,34.59,169.12,29596.0,High,Moderate,Shoulder,Standard,94.0,161.09,1.05,151.42,81.3,89.7,96.0,0.847,,
2023-03-21,2023,3,Mar,12,1,Tuesday,0,,0,0,0,104,2,116,159,116,43,180.38,100.0,20924.08,100.0,220,0,100.0,95.11,180.38,18759.52,High,High,Peak,Rack,96.3,162.72,1.109,156.7,75.9,92.4,97.9,0.775,,
2023-03-22,2023,3,Mar,12,2,Wednesday,0,,0,0,0,41,1,179,157,157,0,170.96,87.7,26840.72,87.7,198,22,90.0,122.0,170.96,7009.36,Low,Moderate,Shoulder,Standard,84.1,162.77,1.05,136.89,88.3,92.6,99.0,0.892,,
2023-03-23,2023,3,Mar,12,3,Thursday,0,,0,0,0,0,0,220,143,143,0,155.82,65.0,22282.26,65.0,143,77,65.0,101.28,155.82,0.0,Low,Moderate,Shoulder,Standard,63.0,149.5,1.042,94.19,88.9,98.4,99.3,0.895,,
2023-03-24,2023,3,Mar,12,4,Friday,0,,0,0,0,12,1,208,114,114,0,150.89,54.8,17201.46,54.8,126,94,57.3,78.19,150.89,1810.68,Low,Low,Low,Promotional,55.3,137.64,1.096,76.11,100.9,101.0,98.0,1.03,,
2023-03-25,2023,3,Mar,12,5,Saturday,1,,0,0,0,71,1,149,116,116,0,165.95,77.9,19250.2,77.9,187,33,85.0,87.5,165.95,11782.45,Low,Moderate,Shoulder,Standard,79.2,157.51,1.054,124.75,99.6,102.4,97.9,1.017,,
2023-03-26,2023,3,Mar,12,6,Sunday,1,,0,0,0,71,1,149,75,75,0,142.56,50.3,10692.0,50.3,146,74,66.4,48.6,142.56,10121.76,Low,Low,Low,Promotional,63.9,136.57,1.044,87.27,109.4,102.6,97.0,1.128,,
2023-03-27,2023,3,Mar,13,0,Monday,0,,0,0,0,99,2,121,148,121,27,167.11,100.0,20220.31,100.0,220,0,100.0,91.91,167.11,16543.89,Medium,Moderate,Shoulder,Standard,94.6,148.52,1.125,140.5,120.3,100.8,97.4,1.235,,
2023-03-28,2023,3,Mar,13,1,Tuesday,0,,0,0,0,145,3,75,185,75,110,179.24,100.0,13443.0,100.0,220,0,100.0,61.1,179.24,25989.8,High,High,Peak,Rack,92.6,159.59,1.123,147.78,114.4,95.1,97.7,1.171,,
2023-03-29,2023,3,Mar,13,2,Wednesday,0,,0,0,0,194,5,26,166,26,140,181.94,100.0,4730.44,100.0,220,0,100.0,21.5,181.94,35296.36,High,High,Peak,Rack,92.5,168.37,1.081,155.74,95.7,92.0,98.6,0.971,,
2023-03-30,2023,3,Mar,13,3,Thursday,0,,0,0,0,50,1,170,164,164,0,172.92,96.5,28358.88,96.5,214,6,97.3,128.9,172.92,8646.0,Low,High,Peak,Rack,92.4,159.31,1.085,147.2,98.7,93.8,104.1,0.948,,
2023-03-31,2023,3,Mar,13,4,Friday,0,,0,0,0,89,3,131,111,111,0,151.08,84.7,16769.88,84.7,200,20,90.9,76.23,151.08,13446.12,Low,Low,Low,Promotional,83.9,134.54,1.123,112.88,98.3,99.6,107.0,0.919,,
2023-04-01,2023,4,Apr,13,5,Saturday,1,,0,0,0,39,1,181,139,139,0,168.98,76.8,23488.22,76.8,178,42,80.9,106.76,168.98,6590.22,Low,Moderate,Shoulder,Standard,77.1,151.42,1.116,116.74,101.6,100.6,109.4,0.929,,
2023-04-02,2023,4,Apr,13,6,Sunday,1,,0,0,0,147,3,73,87,73,14,163.98,100.0,11970.54,100.0,220,0,100.0,54.41,163.98,24105.06,Medium,Low,Low,Promotional,94.1,147.6,1.111,138.89,101.3,105.4,106.7,0.949,,
2023-04-03,2023,4,Apr,14,0,Monday,0,,0,0,0,216,4,4,160,4,156,160.8,100.0,643.2,100.0,220,0,100.0,2.92,160.8,34732.8,High,High,Peak,Rack,96.0,147.87,1.087,141.96,84.6,102.4,99.5,0.85,,
2023-04-04,2023,4,Apr,14,1,Tuesday,0,,0,0,0,215,5,5,218,5,213,179.2,100.0,896.0,100.0,220,0,100.0,4.07,179.2,38528.0,High,Peak,Peak,Rack,93.6,158.19,1.133,148.07,74.6,94.5,92.4,0.807,,
2023-04-05,2023,4,Apr,14,2,Wednesday,0,,0,0,0,155,3,65,188,65,123,186.04,100.0,12092.6,100.0,220,0,100.0,54.97,186.04,28836.2,High,High,Peak,Rack,95.0,171.24,1.086,162.68,80.1,87.9,92.0,0.871,,
2023-04-06,2023,4,Apr,14,3,Thursday,0,,0,0,0,159,3,61,192,61,131,182.94,100.0,11159.34,100.0,220,0,100.0,50.72,182.94,29087.46,High,High,Peak,Rack,92.3,175.46,1.043,161.95,65.4,82.1,91.4,0.716,,
2023-04-07,2023,4,Apr,14,4,Friday,0,,0,0,0,44,1,176,140,140,0,164.82,79.5,23074.8,79.5,184,36,83.6,104.89,164.82,7252.08,Low,Moderate,Shoulder,Standard,80.9,147.87,1.115,119.63,69.6,83.9,90.9,0.766,,
2023-04-08,2023,4,Apr,14,5,Saturday,1,,0,0,0,89,2,131,150,131,19,187.81,100.0,24603.11,100.0,220,0,100.0,111.83,187.81,16715.09,Medium,Moderate,Shoulder,Standard,96.2,170.06,1.104,163.6,68.4,85.0,93.2,0.734,,
