GEOID,checkpoint_year,poverty,income,child_population,income_definition
0100540,2012,25.0,50285.0,13999.0,"median family income, families with own children under 18 (B19125_002E)"
0100600,2012,32.2,48315.0,5890.0,"median family income, families with own children under 18 (B19125_002E)"
0100630,2012,33.0,45870.0,5340.0,"median family income, families with own children under 18 (B19125_002E)"
0100660,2012,26.3,46412.0,10886.0,"median family income, families with own children under 18 (B19125_002E)"
0100690,2012,28.4,45638.0,3117.0,"median family income, families with own children under 18 (B19125_002E)"
0100720,2012,36.0,51438.0,5018.0,"median family income, families with own children under 18 (B19125_002E)"
0100750,2012,23.6,37784.0,3127.0,"median family income, families with own children under 18 (B19125_002E)"
0100780,2012,29.6,48869.0,3589.0,"median family income, families with own children under 18 (B19125_002E)"
0100810,2012,25.0,50667.0,4477.0,"median family income, families with own children under 18 (B19125_002E)"
0100840,2012,25.5,41434.0,5185.0,"median family income, families with own children under 18 (B19125_002E)"
0100870,2012,42.4,37015.0,3019.0,"median family income, families with own children under 18 (B19125_002E)"
0100900,2012,31.1,40000.0,2284.0,"median family income, families with own children under 18 (B19125_002E)"
0100930,2012,23.6,44280.0,4917.0,"median family income, families with own children under 18 (B19125_002E)"
0100960,2012,25.3,55286.0,3326.0,"median family income, families with own children under 18 (B19125_002E)"
0100990,2012,30.7,43822.0,3485.0,"median family income, families with own children under 18 (B19125_002E)"
0101020,2012,24.9,43192.0,15115.0,"median family income, families with own children under 18 (B19125_002E)"
0101050,2012,19.9,59010.0,3196.0,"median family income, families with own children under 18 (B19125_002E)"
0101080,2012,33.6,29438.0,2687.0,"median family income, families with own children under 18 (B19125_002E)"
0101110,2012,46.4,33429.0,5759.0,"median family income, families with own children under 18 (B19125_002E)"
0101140,2012,27.2,42435.0,14516.0,"median family income, families with own children under 18 (B19125_002E)"
0101170,2012,33.8,43125.0,12630.0,"median family income, families with own children under 18 (B19125_002E)"
0101200,2012,28.0,42625.0,1911.0,"median family income, families with own children under 18 (B19125_002E)"
0101230,2012,29.3,46341.0,16423.0,"median family income, families with own children under 18 (B19125_002E)"
0101260,2012,42.9,22315.0,990.0,"median family income, families with own children under 18 (B19125_002E)"
0101290,2012,19.0,63568.0,16814.0,"median family income, families with own children under 18 (B19125_002E)"
0101320,2012,24.8,57368.0,6810.0,"median family income, families with own children under 18 (B19125_002E)"
0101350,2012,38.1,31474.0,7455.0,"median family income, families with own children under 18 (B19125_002E)"
0101380,2012,16.5,56733.0,13999.0,"median family income, families with own children under 18 (B19125_002E)"
0101410,2012,39.9,41895.0,3530.0,"median family income, families with own children under 18 (B19125_002E)"
0101440,2012,38.1,36278.0,2653.0,"median family income, families with own children under 18 (B19125_002E)"
0101470,2012,25.9,47929.0,3223.0,"median family income, families with own children under 18 (B19125_002E)"
0101530,2012,40.3,37563.0,7734.0,"median family income, families with own children under 18 (B19125_002E)"
0101560,2012,37.8,34986.0,3746.0,"median family income, families with own children under 18 (B19125_002E)"
0101590,2012,22.2,47135.0,5494.0,"median family income, families with own children under 18 (B19125_002E)"
0101620,2012,49.8,26226.0,8691.0,"median family income, families with own children under 18 (B19125_002E)"
0101640,2012,34.9,29357.0,1607.0,"median family income, families with own children under 18 (B19125_002E)"
0101660,2012,29.2,40419.0,4357.0,"median family income, families with own children under 18 (B19125_002E)"
0101680,2012,49.9,22429.0,2208.0,"median family income, families with own children under 18 (B19125_002E)"
0101690,2012,37.3,38185.0,1892.0,"median family income, families with own children under 18 (B19125_002E)"
0101710,2012,38.8,33832.0,3899.0,"median family income, families with own children under 18 (B19125_002E)"
0101720,2012,46.5,25725.0,2002.0,"median family income, families with own children under 18 (B19125_002E)"
0101730,2012,8.0,55682.0,3775.0,"median family income, families with own children under 18 (B19125_002E)"
0101740,2012,22.2,48980.0,3843.0,"median family income, families with own children under 18 (B19125_002E)"
0101760,2012,12.1,75955.0,5817.0,"median family income, families with own children under 18 (B19125_002E)"
0101770,2012,25.3,49004.0,8888.0,"median family income, families with own children under 18 (B19125_002E)"
0101800,2012,25.1,54855.0,37205.0,"median family income, families with own children under 18 (B19125_002E)"
0101830,2012,21.0,51013.0,8941.0,"median family income, families with own children under 18 (B19125_002E)"
0101860,2012,43.2,51024.0,2501.0,"median family income, families with own children under 18 (B19125_002E)"
0101890,2012,27.0,48516.0,3229.0,"median family income, families with own children under 18 (B19125_002E)"
0101920,2012,17.1,61702.0,52710.0,"median family income, families with own children under 18 (B19125_002E)"
0101950,2012,27.3,40511.0,3223.0,"median family income, families with own children under 18 (B19125_002E)"
0101980,2012,62.2,14615.0,1917.0,"median family income, families with own children under 18 (B19125_002E)"
0102010,2012,15.7,57882.0,12120.0,"median family income, families with own children under 18 (B19125_002E)"
0102040,2012,22.9,47362.0,7907.0,"median family income, families with own children under 18 (B19125_002E)"
0102070,2012,16.1,57100.0,14060.0,"median family income, families with own children under 18 (B19125_002E)"
0102100,2012,18.7,51827.0,12740.0,"median family income, families with own children under 18 (B19125_002E)"
0102130,2012,40.7,43412.0,1136.0,"median family income, families with own children under 18 (B19125_002E)"
0102160,2012,33.3,36250.0,2764.0,"median family income, families with own children under 18 (B19125_002E)"
0102190,2012,44.8,26067.0,4280.0,"median family income, families with own children under 18 (B19125_002E)"
0102220,2012,12.0,77080.0,31405.0,"median family income, families with own children under 18 (B19125_002E)"
0102250,2012,24.3,46250.0,2038.0,"median family income, families with own children under 18 (B19125_002E)"
0102310,2012,33.2,37411.0,5218.0,"median family income, families with own children under 18 (B19125_002E)"
0102350,2012,21.6,36944.0,1489.0,"median family income, families with own children under 18 (B19125_002E)"
0102370,2012,28.7,48175.0,100152.0,"median family income, families with own children under 18 (B19125_002E)"
0102400,2012,39.6,30974.0,5760.0,"median family income, families with own children under 18 (B19125_002E)"
0102430,2012,30.4,48533.0,56213.0,"median family income, families with own children under 18 (B19125_002E)"
0102480,2012,17.1,63156.0,12149.0,"median family income, families with own children under 18 (B19125_002E)"
0102490,2012,2.4,163814.0,6107.0,"median family income, families with own children under 18 (B19125_002E)"
0102520,2012,17.0,65644.0,3022.0,"median family income, families with own children under 18 (B19125_002E)"
0102550,2012,22.0,42094.0,1980.0,"median family income, families with own children under 18 (B19125_002E)"
0102580,2012,34.8,42338.0,6491.0,"median family income, families with own children under 18 (B19125_002E)"
0102610,2012,43.0,43587.0,1632.0,"median family income, families with own children under 18 (B19125_002E)"
0102635,2012,23.5,53140.0,5830.0,"median family income, families with own children under 18 (B19125_002E)"
0102640,2012,20.0,49315.0,3776.0,"median family income, families with own children under 18 (B19125_002E)"
0102650,2012,26.2,46846.0,6412.0,"median family income, families with own children under 18 (B19125_002E)"
0102670,2012,44.8,22875.0,2571.0,"median family income, families with own children under 18 (B19125_002E)"
0102700,2012,33.5,36324.0,9710.0,"median family income, families with own children under 18 (B19125_002E)"
0102730,2012,39.2,30439.0,4589.0,"median family income, families with own children under 18 (B19125_002E)"
0102760,2012,41.8,27364.0,1290.0,"median family income, families with own children under 18 (B19125_002E)"
0102790,2012,33.7,34461.0,3583.0,"median family income, families with own children under 18 (B19125_002E)"
0102820,2012,22.0,49352.0,3696.0,"median family income, families with own children under 18 (B19125_002E)"
0102850,2012,44.5,30634.0,1564.0,"median family income, families with own children under 18 (B19125_002E)"
0102880,2012,26.6,44032.0,5510.0,"median family income, families with own children under 18 (B19125_002E)"
0102910,2012,38.1,39313.0,2330.0,"median family income, families with own children under 18 (B19125_002E)"
0102940,2012,17.1,45572.0,3056.0,"median family income, families with own children under 18 (B19125_002E)"
0102970,2012,65.9,20179.0,5803.0,"median family income, families with own children under 18 (B19125_002E)"
0103000,2012,36.7,38393.0,1929.0,"median family income, families with own children under 18 (B19125_002E)"
0103030,2012,11.7,80310.0,43998.0,"median family income, families with own children under 18 (B19125_002E)"
0103062,2012,20.0,60256.0,12923.0,"median family income, families with own children under 18 (B19125_002E)"
0103090,2012,49.6,21250.0,3069.0,"median family income, families with own children under 18 (B19125_002E)"
0103120,2012,43.1,30609.0,3106.0,"median family income, families with own children under 18 (B19125_002E)"
0103150,2012,46.0,26204.0,3939.0,"median family income, families with own children under 18 (B19125_002E)"
0103180,2012,33.1,43498.0,10831.0,"median family income, families with own children under 18 (B19125_002E)"
0103210,2012,25.6,38682.0,4544.0,"median family income, families with own children under 18 (B19125_002E)"
0103240,2012,16.4,58048.0,2386.0,"median family income, families with own children under 18 (B19125_002E)"
0103270,2012,58.5,17364.0,1510.0,"median family income, families with own children under 18 (B19125_002E)"
0103300,2012,38.2,37558.0,1380.0,"median family income, families with own children under 18 (B19125_002E)"
0103330,2012,22.9,38906.0,3063.0,"median family income, families with own children under 18 (B19125_002E)"
0103360,2012,35.0,45022.0,17156.0,"median family income, families with own children under 18 (B19125_002E)"
0103390,2012,17.4,67057.0,24547.0,"median family income, families with own children under 18 (B19125_002E)"
0103420,2012,29.2,45298.0,1878.0,"median family income, families with own children under 18 (B19125_002E)"
0103430,2012,2.8,126597.0,8388.0,"median family income, families with own children under 18 (B19125_002E)"
0103450,2012,27.3,43085.0,11844.0,"median family income, families with own children under 18 (B19125_002E)"
0103480,2012,22.6,55544.0,4399.0,"median family income, families with own children under 18 (B19125_002E)"
0103510,2012,49.1,21927.0,3139.0,"median family income, families with own children under 18 (B19125_002E)"
0103540,2012,23.4,56406.0,1753.0,"median family income, families with own children under 18 (B19125_002E)"
0103580,2012,33.9,44428.0,3429.0,"median family income, families with own children under 18 (B19125_002E)"
0200001,2012,26.5,58191.0,5159.0,"median family income, families with own children under 18 (B19125_002E)"
0200003,2012,35.0,40139.0,2524.0,"median family income, families with own children under 18 (B19125_002E)"
0200004,2012,40.2,34205.0,570.0,"median family income, families with own children under 18 (B19125_002E)"
0200005,2012,47.9,33875.0,431.0,"median family income, families with own children under 18 (B19125_002E)"
0200007,2012,21.5,52500.0,263.0,"median family income, families with own children under 18 (B19125_002E)"
0200010,2012,2.4,54583.0,42.0,"median family income, families with own children under 18 (B19125_002E)"
0200020,2012,43.4,36607.0,2273.0,"median family income, families with own children under 18 (B19125_002E)"
0200030,2012,3.6,78542.0,252.0,"median family income, families with own children under 18 (B19125_002E)"
0200050,2012,21.4,36875.0,606.0,"median family income, families with own children under 18 (B19125_002E)"
0200060,2012,3.3,103289.0,530.0,"median family income, families with own children under 18 (B19125_002E)"
0200070,2012,10.2,81439.0,599.0,"median family income, families with own children under 18 (B19125_002E)"
0200090,2012,32.2,60000.0,352.0,"median family income, families with own children under 18 (B19125_002E)"
0200100,2012,11.2,72500.0,1340.0,"median family income, families with own children under 18 (B19125_002E)"
0200120,2012,13.7,77500.0,633.0,"median family income, families with own children under 18 (B19125_002E)"
0200130,2012,7.4,59375.0,150.0,"median family income, families with own children under 18 (B19125_002E)"
0200150,2012,10.7,70272.0,3226.0,"median family income, families with own children under 18 (B19125_002E)"
0200180,2012,10.8,79719.0,75023.0,"median family income, families with own children under 18 (B19125_002E)"
0200210,2012,9.0,83285.0,7437.0,"median family income, families with own children under 18 (B19125_002E)"
0200240,2012,8.5,71250.0,2052.0,"median family income, families with own children under 18 (B19125_002E)"
0200270,2012,4.7,63935.0,583.0,"median family income, families with own children under 18 (B19125_002E)"
0200300,2012,29.0,41389.0,141.0,"median family income, families with own children under 18 (B19125_002E)"
0200330,2012,17.8,43125.0,129.0,"median family income, families with own children under 18 (B19125_002E)"
0200360,2012,27.6,40208.0,98.0,"median family income, families with own children under 18 (B19125_002E)"
0200390,2012,10.3,69470.0,13097.0,"median family income, families with own children under 18 (B19125_002E)"
0200450,2012,10.3,44375.0,125.0,"median family income, families with own children under 18 (B19125_002E)"
0200480,2012,16.0,63482.0,3947.0,"median family income, families with own children under 18 (B19125_002E)"
0200485,2012,30.5,55833.0,515.0,"median family income, families with own children under 18 (B19125_002E)"
0200510,2012,13.2,78316.0,25609.0,"median family income, families with own children under 18 (B19125_002E)"
0200520,2012,25.9,54375.0,309.0,"median family income, families with own children under 18 (B19125_002E)"
0200525,2012,16.9,50446.0,482.0,"median family income, families with own children under 18 (B19125_002E)"
0200540,2012,32.7,60625.0,101.0,"median family income, families with own children under 18 (B19125_002E)"
0200570,2012,11.2,71500.0,999.0,"median family income, families with own children under 18 (B19125_002E)"
0200600,2012,10.5,76080.0,24878.0,"median family income, families with own children under 18 (B19125_002E)"
0200610,2012,20.8,74286.0,2283.0,"median family income, families with own children under 18 (B19125_002E)"
0200625,2012,23.4,55885.0,2694.0,"median family income, families with own children under 18 (B19125_002E)"
0200630,2012,0.0,128750.0,20.0,"median family income, families with own children under 18 (B19125_002E)"
0200660,2012,14.7,82083.0,649.0,"median family income, families with own children under 18 (B19125_002E)"
0200670,2012,14.1,46250.0,184.0,"median family income, families with own children under 18 (B19125_002E)"
0200680,2012,19.3,55417.0,192.0,"median family income, families with own children under 18 (B19125_002E)"
0200690,2012,0.0,92083.0,197.0,"median family income, families with own children under 18 (B19125_002E)"
0200700,2012,15.0,66406.0,391.0,"median family income, families with own children under 18 (B19125_002E)"
0200710,2012,26.2,49688.0,990.0,"median family income, families with own children under 18 (B19125_002E)"
0200715,2012,9.3,45750.0,58.0,"median family income, families with own children under 18 (B19125_002E)"
0200720,2012,3.4,98125.0,600.0,"median family income, families with own children under 18 (B19125_002E)"
0200730,2012,18.6,43125.0,234.0,"median family income, families with own children under 18 (B19125_002E)"
0200760,2012,27.7,44375.0,520.0,"median family income, families with own children under 18 (B19125_002E)"
0200770,2012,1.7,103942.0,401.0,"median family income, families with own children under 18 (B19125_002E)"
0200775,2012,34.0,39375.0,309.0,"median family income, families with own children under 18 (B19125_002E)"
0200780,2012,0.0,95691.0,1142.0,"median family income, families with own children under 18 (B19125_002E)"
0200800,2012,12.0,49063.0,75.0,"median family income, families with own children under 18 (B19125_002E)"
0200810,2012,5.7,51976.0,451.0,"median family income, families with own children under 18 (B19125_002E)"
0200840,2012,3.9,53750.0,152.0,"median family income, families with own children under 18 (B19125_002E)"
0200862,2012,38.1,27500.0,609.0,"median family income, families with own children under 18 (B19125_002E)"
0400004,2012,22.8,63016.0,704.0,"median family income, families with own children under 18 (B19125_002E)"
0400005,2012,74.7,27939.0,450.0,"median family income, families with own children under 18 (B19125_002E)"
0400022,2012,33.1,60156.0,394.0,"median family income, families with own children under 18 (B19125_002E)"
0400480,2012,34.4,37727.0,224.0,"median family income, families with own children under 18 (B19125_002E)"
0400600,2012,51.2,26307.0,32339.0,"median family income, families with own children under 18 (B19125_002E)"
0400630,2012,0.0,,8.0,"median family income, families with own children under 18 (B19125_002E)"
0400750,2012,100.0,2499.0,2.0,"median family income, families with own children under 18 (B19125_002E)"
0400840,2012,61.5,35357.0,391.0,"median family income, families with own children under 18 (B19125_002E)"
0400870,2012,71.8,17639.0,202.0,"median family income, families with own children under 18 (B19125_002E)"
0400960,2012,23.0,54943.0,16512.0,"median family income, families with own children under 18 (B19125_002E)"
0401050,2012,51.0,27635.0,6433.0,"median family income, families with own children under 18 (B19125_002E)"
0401080,2012,35.4,37930.0,733.0,"median family income, families with own children under 18 (B19125_002E)"
0401260,2012,0.0,72625.0,120.0,"median family income, families with own children under 18 (B19125_002E)"
0401290,2012,13.4,,67.0,"median family income, families with own children under 18 (B19125_002E)"
0401380,2012,23.1,58708.0,11905.0,"median family income, families with own children under 18 (B19125_002E)"
0401500,2012,40.7,29545.0,7920.0,"median family income, families with own children under 18 (B19125_002E)"
0401650,2012,48.6,28958.0,142.0,"median family income, families with own children under 18 (B19125_002E)"
0401680,2012,45.0,30191.0,42401.0,"median family income, families with own children under 18 (B19125_002E)"
0401710,2012,25.9,45051.0,17226.0,"median family income, families with own children under 18 (B19125_002E)"
0401920,2012,70.8,,48.0,"median family income, families with own children under 18 (B19125_002E)"
0402130,2012,74.4,23750.0,39.0,"median family income, families with own children under 18 (B19125_002E)"
0402190,2012,45.4,28355.0,593.0,"median family income, families with own children under 18 (B19125_002E)"
0402220,2012,27.2,33478.0,246.0,"median family income, families with own children under 18 (B19125_002E)"
0402250,2012,5.4,64688.0,1025.0,"median family income, families with own children under 18 (B19125_002E)"
0402370,2012,22.4,38516.0,6109.0,"median family income, families with own children under 18 (B19125_002E)"
0402400,2012,26.8,52358.0,14085.0,"median family income, families with own children under 18 (B19125_002E)"
0402430,2012,46.2,27288.0,17730.0,"median family income, families with own children under 18 (B19125_002E)"
0402490,2012,19.3,73750.0,161.0,"median family income, families with own children under 18 (B19125_002E)"
0402760,2012,34.1,41597.0,326.0,"median family income, families with own children under 18 (B19125_002E)"
0402790,2012,50.4,21912.0,2494.0,"median family income, families with own children under 18 (B19125_002E)"
0402820,2012,0.0,65417.0,100.0,"median family income, families with own children under 18 (B19125_002E)"
0403060,2012,34.4,40130.0,10725.0,"median family income, families with own children under 18 (B19125_002E)"
0403240,2012,37.0,33337.0,8985.0,"median family income, families with own children under 18 (B19125_002E)"
0403420,2012,35.5,33229.0,29757.0,"median family income, families with own children under 18 (B19125_002E)"
0403660,2012,32.7,28750.0,153.0,"median family income, families with own children under 18 (B19125_002E)"
0403900,2012,36.4,32212.0,129.0,"median family income, families with own children under 18 (B19125_002E)"
0403960,2012,55.7,24806.0,16807.0,"median family income, families with own children under 18 (B19125_002E)"
0404170,2012,23.9,71042.0,135.0,"median family income, families with own children under 18 (B19125_002E)"
0404230,2012,10.3,88849.0,38275.0,"median family income, families with own children under 18 (B19125_002E)"
0404290,2012,21.1,58694.0,14012.0,"median family income, families with own children under 18 (B19125_002E)"
0404320,2012,9.6,81037.0,7424.0,"median family income, families with own children under 18 (B19125_002E)"
0404380,2012,12.6,75246.0,19495.0,"median family income, families with own children under 18 (B19125_002E)"
0404440,2012,11.8,59000.0,13058.0,"median family income, families with own children under 18 (B19125_002E)"
0404500,2012,20.2,71121.0,9324.0,"median family income, families with own children under 18 (B19125_002E)"
0404530,2012,0.0,68571.0,186.0,"median family income, families with own children under 18 (B19125_002E)"
0404770,2012,36.6,49730.0,1774.0,"median family income, families with own children under 18 (B19125_002E)"
0404860,2012,60.4,15625.0,222.0,"median family income, families with own children under 18 (B19125_002E)"
0404920,2012,14.2,41544.0,113.0,"median family income, families with own children under 18 (B19125_002E)"
0405100,2012,33.3,75625.0,9.0,"median family income, families with own children under 18 (B19125_002E)"
0405190,2012,27.6,51856.0,4121.0,"median family income, families with own children under 18 (B19125_002E)"
0405220,2012,24.0,33650.0,318.0,"median family income, families with own children under 18 (B19125_002E)"
0405340,2012,16.4,55750.0,317.0,"median family income, families with own children under 18 (B19125_002E)"
0405400,2012,59.7,26094.0,3983.0,"median family income, families with own children under 18 (B19125_002E)"
0405430,2012,39.8,35469.0,667.0,"median family income, families with own children under 18 (B19125_002E)"
0405640,2012,11.8,54541.0,1117.0,"median family income, families with own children under 18 (B19125_002E)"
0405670,2012,46.0,26604.0,7544.0,"median family income, families with own children under 18 (B19125_002E)"
0405730,2012,0.0,65682.0,57.0,"median family income, families with own children under 18 (B19125_002E)"
0405760,2012,93.0,21224.0,143.0,"median family income, families with own children under 18 (B19125_002E)"
0405850,2012,30.0,62574.0,722.0,"median family income, families with own children under 18 (B19125_002E)"
0405880,2012,26.3,53240.0,2300.0,"median family income, families with own children under 18 (B19125_002E)"
0406000,2012,46.4,65313.0,77.0,"median family income, families with own children under 18 (B19125_002E)"
0406150,2012,22.9,47344.0,263.0,"median family income, families with own children under 18 (B19125_002E)"
0406210,2012,18.6,49713.0,22609.0,"median family income, families with own children under 18 (B19125_002E)"
0406300,2012,60.2,21504.0,14421.0,"median family income, families with own children under 18 (B19125_002E)"
0406360,2012,22.7,41250.0,228.0,"median family income, families with own children under 18 (B19125_002E)"
0406510,2012,0.0,43389.0,270.0,"median family income, families with own children under 18 (B19125_002E)"
0406630,2012,8.1,41607.0,386.0,"median family income, families with own children under 18 (B19125_002E)"
0406780,2012,11.7,64054.0,458.0,"median family income, families with own children under 18 (B19125_002E)"
0406900,2012,9.1,73029.0,835.0,"median family income, families with own children under 18 (B19125_002E)"
0406930,2012,0.0,,2.0,"median family income, families with own children under 18 (B19125_002E)"
0407020,2012,25.7,40728.0,2550.0,"median family income, families with own children under 18 (B19125_002E)"
0407080,2012,35.9,34749.0,30820.0,"median family income, families with own children under 18 (B19125_002E)"
0407140,2012,0.0,,4.0,"median family income, families with own children under 18 (B19125_002E)"
0407200,2012,61.9,15761.0,2621.0,"median family income, families with own children under 18 (B19125_002E)"
0407380,2012,50.0,,4.0,"median family income, families with own children under 18 (B19125_002E)"
0407500,2012,30.3,44850.0,508.0,"median family income, families with own children under 18 (B19125_002E)"
0407680,2012,0.0,159583.0,20.0,"median family income, families with own children under 18 (B19125_002E)"
0407770,2012,0.0,70417.0,34.0,"median family income, families with own children under 18 (B19125_002E)"
0407860,2012,38.7,44265.0,525.0,"median family income, families with own children under 18 (B19125_002E)"
0407890,2012,35.6,32762.0,6600.0,"median family income, families with own children under 18 (B19125_002E)"
0407920,2012,16.4,74813.0,219.0,"median family income, families with own children under 18 (B19125_002E)"
0408130,2012,38.8,42156.0,1012.0,"median family income, families with own children under 18 (B19125_002E)"
0408310,2012,35.9,39342.0,26506.0,"median family income, families with own children under 18 (B19125_002E)"
0408430,2012,25.0,31500.0,84.0,"median family income, families with own children under 18 (B19125_002E)"
0408460,2012,0.0,39250.0,27.0,"median family income, families with own children under 18 (B19125_002E)"
0408490,2012,28.3,43404.0,5390.0,"median family income, families with own children under 18 (B19125_002E)"
0408550,2012,17.5,38559.0,2846.0,"median family income, families with own children under 18 (B19125_002E)"
0408640,2012,19.1,27188.0,538.0,"median family income, families with own children under 18 (B19125_002E)"
0408820,2012,15.5,50341.0,5315.0,"median family income, families with own children under 18 (B19125_002E)"
0408880,2012,0.0,63125.0,28.0,"median family income, families with own children under 18 (B19125_002E)"
0409030,2012,71.4,21667.0,7.0,"median family income, families with own children under 18 (B19125_002E)"
0409060,2012,32.2,42368.0,57908.0,"median family income, families with own children under 18 (B19125_002E)"
0409090,2012,25.2,38684.0,892.0,"median family income, families with own children under 18 (B19125_002E)"
0409120,2012,27.0,27179.0,115.0,"median family income, families with own children under 18 (B19125_002E)"
0409360,2012,4.9,32917.0,41.0,"median family income, families with own children under 18 (B19125_002E)"
0409390,2012,55.1,17353.0,846.0,"median family income, families with own children under 18 (B19125_002E)"
0409510,2012,10.7,41250.0,149.0,"median family income, families with own children under 18 (B19125_002E)"
0409540,2012,0.0,80972.0,26.0,"median family income, families with own children under 18 (B19125_002E)"
0409570,2012,36.1,27500.0,36.0,"median family income, families with own children under 18 (B19125_002E)"
0409600,2012,29.1,39643.0,23840.0,"median family income, families with own children under 18 (B19125_002E)"
0400082,2012,35.5,34093.0,12579.0,"median family income, families with own children under 18 (B19125_002E)"
0400450,2012,17.4,66186.0,36007.0,"median family income, families with own children under 18 (B19125_002E)"
0400720,2012,26.0,36620.0,1339.0,"median family income, families with own children under 18 (B19125_002E)"
0401160,2012,39.5,37014.0,1090.0,"median family income, families with own children under 18 (B19125_002E)"
0401410,2012,19.2,65523.0,20442.0,"median family income, families with own children under 18 (B19125_002E)"
0401740,2012,29.4,41672.0,23705.0,"median family income, families with own children under 18 (B19125_002E)"
0403450,2012,33.4,39255.0,87665.0,"median family income, families with own children under 18 (B19125_002E)"
0405070,2012,22.4,39690.0,6813.0,"median family income, families with own children under 18 (B19125_002E)"
0406030,2012,23.6,73500.0,296.0,"median family income, families with own children under 18 (B19125_002E)"
0406330,2012,44.2,31276.0,199210.0,"median family income, families with own children under 18 (B19125_002E)"
0407530,2012,39.1,33629.0,3557.0,"median family income, families with own children under 18 (B19125_002E)"
0408340,2012,20.6,66669.0,64781.0,"median family income, families with own children under 18 (B19125_002E)"
0408520,2012,20.6,48411.0,57097.0,"median family income, families with own children under 18 (B19125_002E)"
0408910,2012,41.2,36023.0,791.0,"median family income, families with own children under 18 (B19125_002E)"
0409630,2012,30.6,39639.0,53510.0,"median family income, families with own children under 18 (B19125_002E)"
0400001,2012,4.2,125833.0,9491.0,"median family income, families with own children under 18 (B19125_002E)"
0400003,2012,19.9,65229.0,4581.0,"median family income, families with own children under 18 (B19125_002E)"
0400021,2012,51.1,35473.0,3430.0,"median family income, families with own children under 18 (B19125_002E)"
0400023,2012,52.9,30625.0,2157.0,"median family income, families with own children under 18 (B19125_002E)"
0400026,2012,34.6,24183.0,1029.0,"median family income, families with own children under 18 (B19125_002E)"
0400212,2012,18.1,37439.0,1552.0,"median family income, families with own children under 18 (B19125_002E)"
0400295,2012,25.0,42091.0,13025.0,"median family income, families with own children under 18 (B19125_002E)"
0400520,2012,36.4,56488.0,550.0,"median family income, families with own children under 18 (B19125_002E)"
0400680,2012,20.9,59538.0,25778.0,"median family income, families with own children under 18 (B19125_002E)"
0400790,2012,24.8,49485.0,9627.0,"median family income, families with own children under 18 (B19125_002E)"
0400910,2012,70.5,23597.0,561.0,"median family income, families with own children under 18 (B19125_002E)"
0401000,2012,5.4,57857.0,700.0,"median family income, families with own children under 18 (B19125_002E)"
0401180,2012,43.8,29342.0,1295.0,"median family income, families with own children under 18 (B19125_002E)"
0401330,2012,0.0,39643.0,90.0,"median family income, families with own children under 18 (B19125_002E)"
0401460,2012,14.6,61265.0,11023.0,"median family income, families with own children under 18 (B19125_002E)"
0401600,2012,47.1,35750.0,2392.0,"median family income, families with own children under 18 (B19125_002E)"
0401760,2012,7.8,105142.0,5577.0,"median family income, families with own children under 18 (B19125_002E)"
