RFP_ID,Num_Meeting_Rooms,Num_Sessions,Num_Meeting_Days,Total_Meeting_Hours,Uses_Ballroom,Uses_Boardroom,Num_Setup_Styles,Primary_Setup,Max_AV_Level,Has_Premium_AV,Avg_AV_Level,Total_Room_Rental,Total_AV_Cost,Total_Session_FnB,Total_Meeting_Cost,Num_FnB_Types,Has_Dinner,Has_Reception,Has_Evening_Session,Full_Day_Pct,Avg_Room_Utilization
B-202302-59692,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202302-70910,1,2,1,12,1,0,1,Theater,2,0,2.0,1309.87,700,1590,3220.51,3,0,0,0,50.0,0.86
B-202302-87656,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202302-98555,1,1,1,8,1,0,1,Classroom,2,0,2.0,861.11,350,2088,3043.11,4,0,0,0,100.0,0.42
B-202302-56105,2,8,3,36,1,0,1,Theater,2,0,1.5,1564.91,2000,6004,10815.42,5,0,0,0,12.5,0.95
B-202302-67125,1,2,2,16,1,0,1,Theater,3,1,2.5,1074.99,1000,2800,4971.01,5,0,0,0,100.0,0.6
B-202302-49829,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202302-74451,2,1,1,8,1,0,1,Banquet,2,0,2.0,1423.48,350,360,1318.45,1,0,0,0,100.0,0.52
B-202302-26544,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
L-202302-23006,1,8,3,24,0,0,1,Classroom,0,0,0.44,399.15,0,0,767.51,0,0,0,0,0.0,0.72
L-202302-25157,2,1,1,8,1,0,1,Classroom,2,0,1.96,3033.61,1371,2373,8636.66,3,0,0,0,0.0,0.68
B-202302-68743,1,1,1,8,0,0,1,Theater,2,0,2.0,507.62,350,2700,4058.34,3,0,0,0,100.0,0.95
L-202302-74340,1,2,3,36,1,0,1,Classroom,2,0,1.58,1243.69,1469,318,2866.5,1,0,0,0,0.0,0.63
L-202302-70552,1,2,1,8,1,0,1,Banquet,2,0,2.35,977.63,1118,0,3609.87,0,0,0,0,0.0,0.37
B-202302-33053,1,3,3,24,0,0,1,Theater,3,1,2.33,541.5,1350,8244,12622.8,5,0,0,0,100.0,0.97
B-202302-89415,1,1,1,4,0,1,1,Boardroom,2,0,2.0,339.03,350,770,1760.6,1,1,0,1,0.0,1.0
L-202302-45325,2,5,3,36,1,0,1,Classroom,3,1,2.53,1495.39,152,3900,5447.52,4,1,1,1,100.0,0.57
L-202302-90301,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202302-46655,1,2,2,16,1,0,1,Classroom,3,1,2.5,1877.74,1000,14229,20435.23,4,0,0,0,100.0,0.64
L-202302-15383,1,2,1,8,1,0,1,Classroom,2,0,2.41,1011.73,932,2052,4003.58,2,0,0,0,100.0,0.52
B-202302-17816,2,4,2,24,1,0,1,Theater,3,1,2.25,1680.81,1800,3800,7407.75,4,0,0,0,50.0,0.71
B-202302-39816,2,2,2,16,1,0,1,Theater,2,0,2.0,1326.6,700,1900,3795.27,3,0,0,0,100.0,0.62
B-202302-18564,2,2,2,16,1,0,1,Theater,3,1,2.5,2506.91,1000,19760,25486.21,5,0,0,0,100.0,0.54
B-202303-37686,1,5,2,24,1,0,1,Classroom,3,1,1.8,1188.09,1750,4000,7684.62,5,0,0,0,20.0,1.0
B-202303-34878,1,6,2,24,1,0,1,Theater,3,1,2.17,1034.9,2500,4782,9244.23,5,0,0,0,0.0,0.73
L-202303-52823,1,1,1,8,1,0,1,Classroom,3,1,2.54,963.64,840,1504,2808.01,2,0,0,0,100.0,0.62
L-202303-85248,1,4,3,24,0,1,1,Boardroom,3,1,2.59,395.26,247,8088,8736.73,3,0,0,0,50.0,0.93
B-202303-50499,1,3,3,24,1,0,1,Classroom,2,0,2.0,960.38,1050,3200,6056.6,4,0,0,0,100.0,0.62
B-202303-60140,2,5,2,24,1,0,1,Theater,3,1,2.4,1645.11,2350,4744,8917.91,4,0,0,0,20.0,0.82
L-202303-63841,1,1,2,8,1,0,1,Classroom,2,0,1.57,1264.15,1260,948,3609.87,2,0,0,0,0.0,0.48
L-202303-84000,1,2,2,24,0,0,1,Theater,0,0,0.08,450.24,0,4392,5139.62,3,0,0,0,100.0,0.57
B-202303-64387,1,3,3,24,1,0,1,Theater,2,0,2.0,2071.47,1050,22451,31030.46,5,0,0,0,100.0,0.6
B-202303-65176,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202303-99889,1,2,2,16,1,0,1,Theater,2,0,1.5,998.14,500,2280,4006.34,3,0,0,0,100.0,0.44
L-202303-25220,1,1,2,16,1,0,1,Theater,2,0,2.15,1380.35,820,874,2848.61,2,0,0,0,0.0,0.87
B-202303-18609,1,1,1,8,0,0,1,Classroom,3,1,3.0,353.83,650,1694,3257.67,4,0,0,0,100.0,0.55
L-202303-62262,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
L-202303-30232,1,3,2,16,1,0,1,Theater,3,1,2.96,1232.98,1126,840,2817.66,1,0,0,0,50.0,0.47
B-202303-14082,1,3,2,12,0,0,1,Banquet,2,0,1.67,569.9,850,1595,4206.55,1,1,0,1,0.0,0.72
B-202303-40947,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202303-90623,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202303-98125,2,3,3,24,1,0,1,Classroom,3,1,2.0,1782.67,1150,4320,7266.81,5,0,0,0,100.0,0.63
B-202303-22999,2,2,1,12,1,0,1,Theater,2,0,2.0,1538.94,700,2064,3694.32,4,0,0,0,50.0,0.86
B-202303-64459,1,1,1,4,0,0,1,Classroom,1,0,1.0,492.64,150,0,730.87,0,0,0,0,0.0,0.5
B-202303-97562,1,3,3,24,1,0,1,Classroom,3,1,2.67,943.19,1650,4780,8164.48,5,0,0,0,100.0,0.36
B-202303-63476,1,2,1,8,0,1,1,Boardroom,2,0,2.0,338.02,700,605,2565.66,1,1,0,1,0.0,0.79
B-202303-30253,1,6,2,24,1,0,1,Theater,3,1,2.0,1278.46,2200,3960,8137.71,4,0,0,0,0.0,0.89
B-202303-93904,2,5,2,24,1,0,1,Theater,2,0,2.0,1428.68,1750,4464,8216.61,5,0,0,0,20.0,0.91
L-202303-83620,2,7,3,24,1,0,1,Classroom,0,0,0.03,1356.94,0,7938,9197.85,3,0,0,0,0.0,0.87
B-202303-42850,1,2,2,16,1,0,1,Classroom,2,0,1.0,1330.57,350,1640,3184.66,2,0,0,0,100.0,0.43
B-202303-47667,1,3,1,12,1,0,1,Theater,3,1,2.0,870.0,1150,2052,4202.08,4,0,0,0,0.0,0.69
L-202303-18799,1,2,1,4,1,0,1,Classroom,3,1,2.75,1298.92,44,6296,7486.59,4,1,0,1,0.0,0.42
L-202303-27275,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202303-59308,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202303-55242,2,3,3,24,1,0,1,Classroom,3,1,2.33,1604.02,1350,4100,7325.21,5,0,0,0,100.0,0.67
L-202303-10371,2,2,2,16,1,0,1,Classroom,2,0,1.98,2140.61,1176,1340,4219.94,2,0,0,0,50.0,0.61
B-202303-73156,1,2,1,8,0,0,1,Banquet,0,0,0.0,457.94,0,1665,2899.0,1,0,1,1,0.0,0.93
B-202303-60422,1,3,3,24,1,0,1,Classroom,3,1,2.67,1094.44,1650,4656,8203.55,5,0,0,0,100.0,0.47
B-202303-79942,2,2,2,16,1,0,1,Theater,2,0,1.5,1699.21,500,1680,3414.71,3,0,0,0,100.0,0.62
B-202303-80592,1,2,2,16,1,0,1,Classroom,2,0,1.5,839.32,500,3048,4730.72,4,0,0,0,100.0,0.41
B-202303-30632,2,2,1,12,1,0,1,Theater,2,0,2.0,1366.47,700,1828,3390.75,4,0,0,0,50.0,0.93
B-202303-52516,1,2,1,8,0,0,1,Banquet,1,0,0.5,526.04,150,1815,3085.54,1,1,0,1,0.0,0.82
B-202303-81643,1,2,1,8,0,0,1,Banquet,1,0,1.0,510.88,300,1265,2690.07,1,1,0,1,0.0,0.57
B-202303-94889,1,2,1,12,1,0,1,Theater,3,1,2.5,864.5,1000,2520,4452.85,3,0,0,0,50.0,0.88
B-202303-50953,1,1,1,8,0,0,1,Theater,3,1,3.0,490.78,650,2772,4484.75,4,0,0,0,100.0,0.9
B-202303-75836,1,1,1,4,0,0,1,Banquet,0,0,0.0,467.15,0,1155,1761.46,1,1,0,1,0.0,0.53
B-202303-83048,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
L-202304-75410,2,1,1,8,1,0,1,Classroom,0,0,0.07,1351.14,0,380,2783.63,1,0,0,0,0.0,0.77
B-202304-15741,1,2,2,16,1,0,1,Classroom,3,1,2.5,2430.47,1000,17664,23981.64,4,0,0,0,100.0,0.57
B-202304-35048,1,2,1,12,1,0,1,Theater,1,0,1.0,993.13,300,2292,3462.21,4,0,0,0,50.0,0.96
B-202304-40932,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202304-98652,1,4,3,16,1,0,1,Banquet,2,0,1.0,1201.66,650,1320,3369.2,1,1,0,1,0.0,0.36
B-202304-23875,1,3,3,24,1,0,1,Classroom,2,0,2.0,1169.96,1050,5160,8042.78,5,0,0,0,100.0,0.45
B-202304-24945,2,3,1,16,1,0,1,Theater,1,0,0.67,1853.98,300,432,1879.96,1,0,0,0,33.3,0.68
B-202304-72739,1,10,4,48,1,0,1,Classroom,3,1,1.8,1053.53,3200,7600,14722.16,5,0,0,0,20.0,0.77
B-202304-35856,1,2,1,8,0,0,1,Banquet,0,0,0.0,446.86,0,2035,3238.41,1,1,0,1,0.0,0.93
B-202304-41147,1,2,2,16,0,0,1,Classroom,2,0,2.0,508.29,700,4608,7428.16,4,0,0,0,100.0,0.97
L-202304-90534,1,2,1,4,0,0,1,Classroom,3,1,2.85,488.31,215,3504,5232.72,3,0,0,0,50.0,0.9
B-202304-21221,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202304-89254,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202304-28030,1,2,2,16,1,0,1,Classroom,2,0,1.5,1249.61,500,3072,4768.96,4,0,0,0,100.0,0.41
B-202304-92346,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202304-17518,1,2,1,8,1,0,1,Banquet,2,0,1.5,1317.96,500,1080,2276.7,1,0,1,1,0.0,0.52
B-202304-52291,2,2,2,16,1,0,1,Classroom,3,1,2.5,1445.35,1000,2100,4235.38,5,0,0,0,100.0,0.57
L-202304-96787,2,5,2,8,1,0,1,Theater,2,0,1.8,1728.35,771,5700,7249.65,3,0,0,0,0.0,0.68
B-202304-52981,1,3,3,24,1,0,1,Classroom,3,1,2.67,1173.29,1650,3120,6617.6,4,0,0,0,100.0,0.5
B-202304-20057,1,3,3,24,0,0,1,Classroom,3,1,2.33,571.88,1350,7380,11823.67,5,0,0,0,100.0,0.97
B-202304-47079,1,2,1,8,1,0,1,Reception,1,0,0.5,822.1,150,1320,2158.56,1,1,0,1,0.0,0.39
B-202304-51770,2,5,2,24,1,0,1,Classroom,3,1,2.0,1746.1,1850,4614,8432.35,4,0,0,0,20.0,0.91
B-202304-94252,1,3,2,12,0,0,1,Reception,2,0,1.33,452.7,700,2200,4690.97,1,1,0,1,0.0,1.0
B-202304-58567,1,4,2,24,1,0,1,Theater,3,1,2.0,1132.18,1500,4352,7625.82,5,0,0,0,50.0,0.68
L-202304-15706,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202304-17852,1,2,2,16,1,0,1,Classroom,2,0,1.5,970.03,500,2340,4062.81,5,0,0,0,100.0,0.53
L-202304-81509,1,2,1,12,1,0,1,Banquet,2,0,1.7,1103.05,1383,7630,12691.04,5,0,0,0,100.0,0.5
B-202304-15130,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202304-36342,1,1,1,4,0,1,1,Boardroom,0,0,0.0,261.53,0,605,1145.62,1,1,0,1,0.0,0.79
B-202304-47243,1,1,1,4,1,0,1,Reception,0,0,0.0,1088.27,0,1320,1648.17,1,1,0,1,0.0,0.4
B-202304-41711,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202304-18511,1,2,2,16,0,0,1,Classroom,2,0,1.5,419.39,500,3638,6035.42,4,0,0,0,100.0,0.85
B-202304-26821,1,1,1,8,1,0,1,Theater,3,1,3.0,1349.46,650,1560,2840.85,3,0,0,0,100.0,0.42
B-202304-58623,2,7,3,36,1,0,1,Classroom,2,0,1.57,1519.04,1850,5488,10058.7,5,0,0,0,28.6,0.75
B-202304-91006,1,2,2,8,0,0,1,Reception,2,0,1.5,521.69,500,1100,2854.67,1,1,0,1,0.0,0.5
B-202304-99838,1,1,1,8,1,0,1,Classroom,2,0,2.0,1006.11,350,2088,2983.95,4,0,0,0,100.0,0.67
L-202304-83989,1,5,2,8,1,0,1,Classroom,2,0,1.58,821.37,1156,8595,10729.9,3,0,0,0,50.0,0.62
B-202304-26341,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
L-202304-74382,1,2,2,24,0,0,1,Theater,2,0,2.09,350.54,1094,972,3382.12,1,0,0,0,100.0,0.9
B-202304-60678,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202304-68799,1,2,2,16,1,0,1,Classroom,2,0,2.0,1371.05,700,3336,5218.02,4,0,0,0,100.0,0.5
B-202304-17362,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202304-65640,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202304-39102,1,2,2,16,1,0,1,Theater,3,1,3.0,2113.71,1300,19320,25381.65,5,0,0,0,100.0,0.57
L-202304-15399,1,7,3,24,1,0,1,Classroom,2,0,1.79,1101.9,288,21896,22718.34,4,1,0,1,0.0,0.76
B-202304-58213,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202304-95437,2,4,2,24,1,0,1,Theater,3,1,2.25,1665.02,1700,4248,7725.02,4,0,0,0,50.0,0.88
B-202305-46010,1,4,2,16,1,0,1,Classroom,2,0,1.5,931.1,1000,1400,3807.46,1,0,0,0,0.0,0.52
B-202305-48669,1,3,3,24,1,0,1,Classroom,3,1,2.67,889.18,1650,5208,8660.13,5,0,0,0,100.0,0.34
B-202305-69770,1,2,2,16,1,0,1,Classroom,2,0,1.5,1236.1,500,3936,5683.35,5,0,0,0,100.0,0.42
B-202305-89007,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202305-20358,1,2,2,8,1,0,1,Classroom,1,0,1.0,1201.48,300,0,970.56,0,0,0,0,0.0,0.43
B-202305-40427,1,1,1,4,0,1,1,Boardroom,2,0,2.0,394.64,350,630,1573.93,1,0,1,1,0.0,1.0
B-202305-64950,1,2,1,12,1,0,1,Theater,3,1,2.5,1339.84,1000,1806,3727.84,4,0,0,0,50.0,0.72
B-202305-74866,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202305-98299,1,5,2,24,1,0,1,Theater,3,1,2.0,891.11,1850,4422,8267.17,5,0,0,0,20.0,0.97
B-202305-22502,1,2,2,8,0,0,1,Banquet,1,0,1.0,400.34,300,1815,3398.86,1,1,0,1,0.0,0.82
B-202305-28018,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202305-86434,1,1,1,8,1,0,1,Banquet,2,0,2.0,1389.38,350,2088,3030.58,4,0,0,0,100.0,0.43
B-202305-34101,1,6,2,24,1,0,1,Classroom,3,1,1.67,1172.05,1800,4064,7903.83,5,0,0,0,0.0,0.82
B-202305-86917,2,1,1,8,1,0,1,Theater,2,0,2.0,1576.13,350,2088,3027.8,4,0,0,0,100.0,0.54
B-202305-51116,2,2,2,16,1,0,1,Classroom,2,0,1.5,1640.97,500,2300,3921.61,4,0,0,0,100.0,0.61
L-202305-46569,1,4,2,16,0,1,1,Boardroom,3,1,2.87,315.2,579,3480,4707.07,2,0,0,0,100.0,0.36
B-202305-84289,1,2,1,8,0,1,1,Boardroom,2,0,1.5,275.66,500,440,2041.42,1,1,0,1,0.0,0.57
B-202305-81361,2,3,3,24,1,0,1,Classroom,2,0,1.67,1508.78,850,3880,6631.02,5,0,0,0,100.0,0.63
B-202305-85088,1,2,2,16,1,0,1,Classroom,2,0,2.0,1210.64,700,1992,3953.4,3,0,0,0,100.0,0.57
L-202305-12009,1,1,2,24,0,0,1,Banquet,1,0,0.97,445.58,337,0,3153.34,0,0,0,0,100.0,0.82
B-202305-10680,2,3,1,12,1,0,1,Classroom,3,1,2.33,1543.08,1350,1320,3625.26,3,0,0,0,0.0,0.73
B-202305-19637,2,7,3,36,1,0,1,Classroom,3,1,1.86,1185.89,2350,5368,10568.93,5,0,0,0,28.6,0.73
L-202305-60132,1,5,2,16,1,0,1,Classroom,3,1,2.68,930.94,304,0,729.65,0,0,0,0,100.0,0.81
B-202305-17355,1,2,1,8,0,0,1,Classroom,2,0,2.0,411.61,700,264,2203.69,1,0,0,0,0.0,0.55
B-202305-42208,2,3,1,12,1,0,1,Reception,2,0,1.33,1348.83,650,2310,4004.7,1,1,0,1,0.0,0.79
B-202305-54444,1,1,1,4,1,0,1,Classroom,1,0,1.0,1000.26,150,0,530.48,0,0,0,0,0.0,0.58
L-202305-82362,1,1,1,8,0,1,1,Boardroom,1,0,0.7,362.13,1116,756,2450.2,3,0,0,0,50.0,0.64
B-202305-39002,1,1,1,4,0,0,1,Reception,0,0,0.0,489.96,0,1650,2192.06,1,1,0,1,0.0,0.75
L-202305-33040,0,0,0,0,0,0,0,,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
B-202305-56160,2,2,2,16,1,0,1,Classroom,2,0,2.0,1445.53,700,2544,4462.42,2,0,0,0,100.0,0.61
B-202305-45842,1,2,2,8,0,0,1,Banquet,0,0,0.0,439.28,0,1265,2496.84,1,1,0,1,0.0,0.57
B-202305-47649,1,2,2,8,0,0,1,Classroom,0,0,0.0,421.0,0,0,1201.37,0,0,0,0,0.0,0.9
B-202305-20237,1,1,1,4,0,0,1,Banquet,1,0,1.0,522.63,150,1260,2048.7,1,0,1,1,0.0,0.7
B-202305-52604,1,2,1,8,1,0,1,Banquet,1,0,0.5,1319.44,150,1320,2134.05,1,1,0,1,0.0,0.39
L-202305-71080,1,2,3,24,0,1,1,Boardroom,1,0,0.95,273.85,897,1696,3669.87,2,0,0,0,100.0,0.86
B-202305-50392,2,9,3,36,1,0,1,Theater,3,1,2.0,1564.34,3250,5452,11657.97,4,0,0,0,0.0,0.8
B-202305-39603,1,1,1,8,1,0,1,Theater,3,1,3.0,1161.46,650,2088,3292.39,4,0,0,0,100.0,0.42
B-202305-76809,1,1,1,8,0,0,1,Classroom,2,0,2.0,517.75,350,1235,2516.2,3,0,0,0,100.0,0.47
B-202305-98150,1,1,1,8,1,0,1,Classroom,2,0,2.0,1172.6,350,1848,2841.93,4,0,0,0,100.0,0.47
B-202305-82856,2,7,3,36,1,0,1,Classroom,3,1,2.14,1419.71,2850,5008,10725.47,5,0,0,0,28.6,0.79
L-202305-25549,2,2,1,8,1,0,1,Theater,1,0,0.71,1776.19,1288,2848,5185.42,4,1,0,1,0.0,0.69
