RFP_ID,Status,Account_Name,Event_Name,Event_Type,Event_Format,Event_Configuration,Market_Segment,Organization_Industry,Lead_Source,Client_Priority,Inquiry_Date,Decision_Date,Decision_Days,Arrival_Date,Departure_Date,Nights,Lead_Time,Peak_Room_Block,Total_Room_Nights_Requested,Attendees,Has_Meeting_Space,Meeting_Spaces,Has_FnB_Requirements,Has_Special_Requirements,Response_Due_Days,Budget_Provided,Budget_Amount,Destinations_Considered,Forecasted_Occupancy,Baseline_ADR,Quoted_ADR,Proposed_Room_Revenue,Proposed_Meeting_Revenue,Proposed_FnB_Revenue,Proposed_Total_Revenue,Actual_Room_Nights,Actual_Room_Revenue,Actual_Meeting_Revenue,Actual_FnB_Revenue,Actual_Total_Revenue,Actual_Pickup_Rate,Actual_FnB_Per_Person,Lost_Reason,Year,Month,Num_Room_Types,Pct_Standard_Rooms,Pct_Premium_Rooms,Has_Suites,Rate_Spread,Min_Room_Rate,Max_Room_Rate,Suite_Rate,Standard_Rate,Peak_Night_Index,Night_Variance_Pct,Rooms_Night_1,Rooms_Night_2,Rooms_Night_3,Rooms_Night_4,Num_Meeting_Rooms,Num_Sessions,Num_Meeting_Days,Total_Meeting_Hours,Uses_Ballroom,Uses_Boardroom,Num_Setup_Styles,Primary_Setup,Max_AV_Level,Has_Premium_AV,Avg_AV_Level,Total_Room_Rental,Total_AV_Cost,Total_Session_FnB,Total_Meeting_Cost,Num_FnB_Types,Has_Dinner,Has_Reception,Has_Evening_Session,Full_Day_Pct,Avg_Room_Utilization,Description,Feasibility_Status,Conflict_Room_Dates,Conflict_Space_Dates,Rooms_Available_On_Peak,Displacement_Total_Est,Net_Revenue_Value,Win_Probability,Expected_Value,Response_Due_Date,Days_To_Respond,Urgency,Season_Quality,Rank_Score,Rank_Rationale,Rank
N-10233,Pending,Midwestern Financial Group,Staff Development Program,Corporate,In-person,Meeting + F&B,Finance,Education,Referral,Medium,2026-04-07,2026-05-03,25,2027-01-26,2027-01-29,3,294,70,180,83,1,Half Ballroom,0,0,12,0,109037.49,4,0.61,179.83,149.29,26872.49,15214.55,0,42087.04,0,0.0,0.0,0.0,0.0,0.0,0.0,,2027,1,1,62.6,37.4,1,104.08,126.9,171.69,231.4,149.29,2,2.8,54,55,65,0,3,5,3,37,1,0,1,Classroom,2,0,1.06,14177.98,1036.57,0.0,15214.55,0,0,1,1,22.3,0.82,"Winter corporate, value season",Clear,,,220,11077.97,31009.07,0.8,24705.23,2026-04-19,-2,Critical,Winter,17.75,"Winter corporate, value season",11
N-10114,Pending,Wedding – Harmon/Park,Wedding Reception,Social,Hybrid,Rooms Only,Social,Education,Website,High,2026-04-20,2026-05-09,14,2026-08-31,2026-09-02,2,133,30,51,38,1,Boardroom,0,1,16,1,0.0,4,0.64,177.78,163.61,8344.06,17806.71,0,26150.77,0,0.0,0.0,0.0,0.0,0.0,0.0,,2026,8,3,50.2,49.8,0,79.59,139.07,188.15,253.59,163.61,1,1.2,25,26,0,0,4,7,2,23,0,0,1,Boardroom,2,1,2.2,13480.5,4326.21,0.0,17806.71,0,0,0,1,81.1,0.84,"Weekend wedding, limited rooms",Clear,,,220,2270.67,23880.1,0.88,21094.39,2026-05-06,15,Low,Summer,16.74,"Weekend wedding, limited rooms",12
N-10177,Pending,State Manufacturing Guild,Member Education Symposium,Association,In-person,Rooms Only,Manufacturing,Pharmaceutical,Third-Party Planner,Medium,2026-04-09,2026-05-09,7,2027-03-22,2027-03-25,3,347,65,153,127,1,Breakout Room,0,0,7,0,0.0,2,0.83,197.19,181.95,27838.47,9032.27,0,36870.74,0,0.0,0.0,0.0,0.0,0.0,0.0,,2027,3,2,60.5,39.5,1,129.82,154.66,209.24,282.02,181.95,2,10.5,49,64,53,0,4,2,3,27,0,0,1,U-Shape,1,1,2.55,7958.41,1073.86,0.0,9032.27,0,0,1,0,19.2,0.89,Mid-size association spring,Clear,,,200,10455.15,26415.59,0.75,19680.87,2026-04-16,-5,Critical,Spring,15.43,Mid-size association spring,13
N-10142,Pending,Dublin HR Collective,Strategic Planning Retreat,Corporate,Virtual,Day Meeting Only,Professional Services,Pharmaceutical,Third-Party Planner,Medium,2026-04-18,2026-05-03,9,2026-04-27,2026-04-29,2,9,55,95,81,1,Breakout Room,1,1,12,0,120733.71,3,0.76,198.96,178.26,16934.31,4204.95,19501.64,40640.9,0,0.0,0.0,0.0,0.0,0.0,0.0,,2026,4,3,63.4,36.6,1,62.34,151.52,204.99,276.3,178.26,1,6.0,53,53,0,0,1,7,2,27,0,0,1,Reception,4,1,1.71,3048.24,1156.71,5850.49,4204.95,5,1,0,0,49.9,0.63,"HR training, 2 nights",Clear,,,170,6251.13,34389.77,0.55,18910.18,2026-04-30,9,Medium,Spring,14.66,"HR training, 2 nights",14
N-10198,Pending,Charitable Arts Foundation,Charity Fundraiser Gala,SMERF,Virtual,Full Package,Government,Technology,Repeat Client,High,2026-04-12,2026-04-22,30,2026-07-06,2026-07-08,2,85,28,54,36,1,Boardroom,1,0,17,0,0.0,2,0.7,169.71,140.97,7612.2,2949.48,8140.69,18702.37,0,0.0,0.0,0.0,0.0,0.0,0.0,,2026,7,3,65.6,34.4,0,90.26,119.82,162.11,218.5,140.97,2,11.2,26,21,0,0,1,8,2,28,0,0,3,Theater,4,0,1.33,2110.57,838.92,2442.21,2949.48,2,1,1,0,53.4,0.79,Nonprofit gala - value segment,Clear,,,188,4558.75,14143.62,0.95,13436.43,2026-04-29,8,Medium,Summer,14.45,Nonprofit gala - value segment,15
N-10184,Pending,Central Ohio Legal Society,Strategic Planning Retreat,Corporate,Virtual,Full Package,Legal,Education,Third-Party Planner,Medium,2026-04-21,2026-04-28,12,2026-05-25,2026-05-27,2,34,40,71,75,1,Boardroom,1,1,8,1,31964.57,1,0.63,207.74,173.27,12302.52,11340.04,16979.41,40621.97,0,0.0,0.0,0.0,0.0,0.0,0.0,,2026,5,3,69.6,30.4,1,101.96,147.28,199.27,268.58,173.27,1,5.6,39,32,0,0,3,2,2,21,0,0,1,Classroom,3,0,1.12,10264.21,1075.83,5093.82,11340.04,2,0,0,1,23.3,0.94,"Memorial Day adj, legal corporate",Clear,,,186,5128.07,35493.9,0.53,18711.89,2026-04-29,8,Medium,Spring,14.43,"Memorial Day adj, legal corporate",16
N-10212,Pending,Nationwide Insurance Training,QNationwide Sales Kickoff,Corporate,In-person,Full Package,Finance,Professional Services,Referral,Medium,2026-04-18,2026-04-27,22,2026-10-05,2026-10-07,2,170,45,80,90,1,Full Ballroom,1,0,17,1,0.0,5,0.84,192.42,184.59,14767.34,8362.77,12477.12,35607.23,0,0.0,0.0,0.0,0.0,0.0,0.0,,2026,10,2,69.3,30.7,0,108.58,156.9,212.28,286.12,184.59,2,8.4,37,38,0,0,3,5,2,31,1,0,1,Reception,2,0,1.14,6804.82,1557.95,3743.14,8362.77,4,1,0,0,67.2,0.72,Insurance training - CONFLICTS check,Clear,,,120,4349.24,31257.99,0.57,17877.3,2026-05-05,14,Low,Fall,14.43,Insurance training - CONFLICTS check,17
N-10079,Pending,Cybersecurity Professionals Network,Regional Manager Training,Corporate,In-person,Rooms Only,Technology,Finance,RFP,Medium,2026-04-14,2026-04-24,26,2026-06-15,2026-06-18,3,62,85,219,181,1,Boardroom,0,0,17,0,205303.4,3,0.68,174.03,166.04,36362.28,3620.74,0,39983.02,0,0.0,0.0,0.0,0.0,0.0,0.0,,2026,6,3,66.6,33.4,1,74.88,141.13,190.94,257.36,166.04,3,4.7,80,68,75,0,1,6,3,9,0,0,2,Boardroom,2,1,2.66,3395.47,225.27,0.0,3620.74,0,1,0,0,29.4,0.62,"Corporate training, full package",Clear,,,165,13674.41,26308.61,0.62,16348.25,2026-05-01,10,Medium,Summer,13.04,"Corporate training, full package",18
N-10156,Pending,Ohio Medical Association,Strategic Planning Retreat,Corporate,Hybrid,Day Meeting Only,Healthcare,Manufacturing,Repeat Client,Medium,2026-04-12,2026-05-11,12,2027-07-28,2027-07-30,2,472,35,65,69,1,Boardroom,0,0,11,1,0.0,1,0.69,183.07,169.91,11044.16,4735.02,0,15779.18,0,0.0,0.0,0.0,0.0,0.0,0.0,,2027,7,2,68.6,31.4,1,72.49,144.42,195.4,263.36,169.91,2,5.2,31,31,0,0,2,5,2,13,0,0,3,Banquet,2,0,2.96,2416.72,2318.3,0.0,4735.02,0,1,1,1,67.3,0.74,"Summer corporate, short",Clear,,,220,2947.87,12831.31,0.82,10556.12,2026-04-23,2,Critical,Summer,11.64,"Summer corporate, short",19
N-10219,Pending,Columbus Education Cooperative,Member Education Symposium,Association,Hybrid,Full Package,Education,Education,Direct Inquiry,Medium,2026-04-16,2026-05-10,23,2027-08-25,2027-08-28,3,496,55,155,120,1,Breakout Room,0,1,20,0,177017.33,4,0.69,172.8,142.86,22143.34,10870.49,0,33013.84,0,0.0,0.0,0.0,0.0,0.0,0.0,,2027,8,3,72.7,27.3,0,62.99,121.43,164.29,221.43,142.86,1,4.3,47,45,51,0,2,8,3,23,0,0,3,Reception,1,0,1.78,8764.96,2105.53,0.0,10870.49,0,1,1,0,1.9,0.9,Late summer edu association,Clear,,,220,9550.16,23463.68,0.58,13519.36,2026-05-06,15,Low,Summer,11.49,Late summer edu association,20
N-10100,Pending,Ohio State Bar Foundation,QOhio Sales Kickoff,Corporate,In-person,Meeting + F&B,Legal,Healthcare,RFP,High,2026-04-13,2026-04-25,14,2026-07-20,2026-07-22,2,98,50,89,94,1,Breakout Room,0,1,11,0,0.0,5,0.63,181.51,156.87,13961.34,3104.94,0,17066.28,0,0.0,0.0,0.0,0.0,0.0,0.0,,2026,7,1,71.3,28.7,1,98.02,133.34,180.4,243.15,156.87,1,4.4,48,48,0,0,1,2,2,22,0,0,3,Reception,4,1,1.71,2349.87,755.07,0.0,3104.94,0,0,0,1,62.0,0.91,"Mid-week legal, 2 nights",Clear,,,191,4000.06,13066.22,0.78,10239.58,2026-04-24,3,High,Summer,11.26,"Mid-week legal, 2 nights",21
N-10163,Pending,Sports Booster Gala,Charity Fundraiser Gala,SMERF,Hybrid,Day Meeting Only,Social,Government,Website,Medium,2026-04-19,2026-05-19,29,2026-12-14,2026-12-16,2,239,25,41,44,1,Full Ballroom,1,0,11,0,0.0,1,0.64,167.54,152.78,6263.78,4551.27,9644.41,20459.45,0,0.0,0.0,0.0,0.0,0.0,0.0,,2026,12,1,73.4,26.6,1,89.36,129.86,175.69,236.8,152.78,1,11.6,19,18,0,0,2,6,2,11,1,0,3,Classroom,2,0,2.31,3524.3,1026.96,2893.32,4551.27,4,1,0,0,73.8,0.73,"Holiday SMERF, weekend gala",Clear,,,195,1357.45,19102.0,0.59,11322.46,2026-04-30,9,Medium,Winter,11.25,"Holiday SMERF, weekend gala",22
N-10149,Pending,Faith & Leadership Forum,Professional Development Forum,Association,Hybrid,Meeting + F&B,Education,Education,Referral,High,2026-04-12,2026-05-06,8,2027-02-15,2027-02-18,3,309,60,130,116,1,Boardroom,0,1,17,0,0.0,1,0.58,156.1,130.81,17004.66,5151.3,0,22155.96,0,0.0,0.0,0.0,0.0,0.0,0.0,,2027,2,3,63.0,37.0,1,102.03,111.18,150.43,202.75,130.81,1,10.1,56,46,52,0,1,5,3,12,0,0,3,Classroom,3,0,2.1,4409.83,741.47,0.0,5151.3,0,0,1,1,95.9,0.69,"Winter association, soft season",Clear,,,220,9129.12,13026.84,0.78,10142.22,2026-04-29,8,Medium,Winter,11.09,"Winter association, soft season",23
N-10226,Pending,CoverMyMeds Staff Programs,CoverMyMeds Annual Leadership Summit,Corporate,In-person,Meeting + F&B,Technology,Government,Website,Medium,2026-04-08,2026-04-22,11,2026-06-08,2026-06-10,2,61,35,63,38,0,,1,1,17,0,0.0,4,0.68,183.59,165.99,10457.09,0,6569.66,17026.75,0,0.0,0.0,0.0,0.0,0.0,0.0,,2026,6,3,74.0,26.0,0,77.56,141.09,190.88,257.28,165.99,1,6.4,28,29,0,0,0,0,0,0,0,0,3,Boardroom,3,1,2.08,0.0,0,1970.9,0,2,0,0,0,30.9,0.83,Short corporate - CONFLICT check,Clear,,,155,5128.48,11898.27,0.51,6045.04,2026-04-25,4,High,Summer,8.47,Short corporate - CONFLICT check,24
N-10135,Pending,Rotary District Conference,Professional Development Forum,Association,Virtual,Meeting + F&B,Professional Services,Professional Services,Referral,Medium,2026-04-16,2026-04-23,13,2027-10-13,2027-10-16,3,545,140,374,243,1,Half Ballroom,0,1,11,0,142320.53,2,0.85,198.95,174.75,65358.31,22895.99,0,88254.3,0,0.0,0.0,0.0,0.0,0.0,0.0,,2027,10,3,54.2,45.8,0,72.38,148.54,200.97,270.87,174.75,3,0.0,107,132,111,0,4,3,3,11,1,1,2,U-Shape,3,1,1.81,20354.48,2541.51,0.0,22895.99,0,0,0,0,91.9,0.77,Large association peak fall,Space conflict,,2027-10-13,200,27782.13,60472.17,0.22,13074.52,2026-04-27,6,Medium,Fall,8.38,Large association peak fall,25
