Date,Year,Month,Week,Day_Of_Week,Day_Name,Is_Weekend,Special_Event,Is_Special_Event,Is_OSU_Football,Group_Rooms_On_Books,Group_Events_Inhouse,Transient_Rooms_Available,Transient_Demand_Unconstrained,Transient_Rooms_Sold,Transient_Rooms_Turned_Away,Transient_ADR,Transient_Occ_Of_Available,Transient_Revenue,Total_Rooms_Sold,Total_Occupancy_Pct,Transient_RevPAR,Displacement_Cost_Per_Room,Displacement_Pressure,Demand_Tier,Market_Occ_Pct,Market_ADR,Market_RevPAR,Transient_Pace_7d,Transient_Pace_14d,Transient_Pace_30d,Pace_Index
2023-01-15,2023,1,2,6,Sunday,1,,0,0,122,2,98,54,54,0,134.55,55.1,7265.7,176,80.0,33.03,134.55,Low,Soft,76.3,123.63,94.33,77.9,64.7,64.6,1.206
2023-01-16,2023,1,3,0,Monday,0,,0,0,0,0,220,129,129,0,138.63,58.6,17883.27,129,58.6,81.29,138.63,Low,Moderate,56.1,131.76,73.92,96.3,70.0,68.6,1.404
2023-01-17,2023,1,3,1,Tuesday,0,,0,0,0,0,220,138,138,0,149.87,62.7,20682.06,138,62.7,94.01,149.87,Low,Moderate,58.6,144.8,84.85,108.1,79.9,72.7,1.487
2023-01-18,2023,1,3,2,Wednesday,0,,0,0,48,1,172,141,141,0,154.27,82.0,21752.07,189,85.9,98.87,154.27,Low,Moderate,80.1,140.15,112.26,109.7,89.9,76.5,1.434
2023-01-19,2023,1,3,3,Thursday,0,,0,0,48,1,172,130,130,0,151.19,75.6,19654.7,178,80.9,89.34,151.19,Low,Moderate,76.5,139.4,106.64,110.3,91.4,79.3,1.391
2023-01-20,2023,1,3,4,Friday,0,,0,0,0,0,220,91,91,0,140.53,41.4,12788.23,91,41.4,58.13,140.53,Low,Low,39.9,134.31,53.59,110.9,91.9,79.9,1.388
2023-01-21,2023,1,3,5,Saturday,1,,0,0,83,1,137,99,99,0,141.6,72.3,14018.4,182,82.7,63.72,141.6,Low,Low,76.3,128.22,97.83,111.7,93.3,80.8,1.382
2023-01-22,2023,1,3,6,Sunday,1,,0,0,83,1,137,57,57,0,123.48,41.6,7038.36,140,63.6,31.99,123.48,Low,Soft,61.6,118.13,72.77,112.1,95.0,79.7,1.407
2023-01-23,2023,1,4,0,Monday,0,,0,0,76,3,144,114,114,0,136.91,79.2,15607.74,190,86.4,70.94,136.91,Low,Low,80.4,125.18,100.64,110.0,103.1,81.2,1.355
2023-01-24,2023,1,4,1,Tuesday,0,,0,0,63,2,157,131,131,0,165.22,83.4,21643.82,194,88.2,98.38,165.22,Low,Moderate,81.4,150.78,122.73,109.0,108.6,83.3,1.309
2023-01-25,2023,1,4,2,Wednesday,0,,0,0,0,0,220,131,131,0,148.91,59.5,19507.21,131,59.5,88.67,148.91,Low,Moderate,55.0,144.28,79.35,107.6,108.6,85.2,1.263
2023-01-26,2023,1,4,3,Thursday,0,,0,0,15,1,205,107,107,0,152.43,52.2,16310.01,122,55.5,74.14,152.43,Low,Low,52.6,145.56,76.56,104.3,107.3,86.0,1.213
2023-01-27,2023,1,4,4,Friday,0,,0,0,15,1,205,96,96,0,143.21,46.8,13748.16,111,50.5,62.49,143.21,Low,Low,46.5,127.14,59.12,105.0,107.9,86.4,1.215
2023-01-28,2023,1,4,5,Saturday,1,,0,0,0,0,220,94,94,0,146.18,42.7,13740.92,94,42.7,62.46,146.18,Low,Low,39.6,133.59,52.9,104.3,108.0,86.7,1.203
2023-01-29,2023,1,4,6,Sunday,1,,0,0,58,2,162,53,53,0,137.09,32.7,7265.77,111,50.5,33.03,137.09,Low,Soft,48.2,128.53,61.95,103.7,107.9,85.5,1.213
2023-01-30,2023,1,5,0,Monday,0,,0,0,160,2,60,124,60,64,144.95,100.0,8697.0,220,100.0,39.53,144.95,High,Moderate,96.2,134.28,129.18,96.0,103.0,84.7,1.133
2023-01-31,2023,1,5,1,Tuesday,0,,0,0,136,2,84,125,84,41,160.7,100.0,13498.8,220,100.0,61.36,160.7,High,Moderate,96.9,145.08,140.58,89.3,99.1,85.4,1.046
2023-02-01,2023,2,5,2,Wednesday,0,,0,0,154,3,66,161,66,95,172.93,100.0,11413.38,220,100.0,51.88,172.93,High,High,95.4,152.88,145.85,80.0,93.8,85.7,0.933
2023-02-02,2023,2,5,3,Thursday,0,,0,0,23,1,197,121,121,0,151.88,61.4,18377.48,144,65.5,83.53,151.88,Low,Moderate,62.2,136.61,84.97,82.0,93.1,89.8,0.913
2023-02-03,2023,2,5,4,Friday,0,,0,0,11,1,209,114,114,0,145.0,54.5,16530.0,125,56.8,75.14,145.0,Low,Low,54.7,132.68,72.58,84.6,94.8,93.6,0.904
2023-02-04,2023,2,5,5,Saturday,1,,0,0,118,2,102,109,102,7,164.57,100.0,16786.14,220,100.0,76.3,164.57,Low,Low,94.8,152.43,144.5,85.7,95.0,93.3,0.919
2023-02-05,2023,2,5,6,Sunday,1,,0,0,46,1,174,68,68,0,135.38,39.1,9205.84,114,51.8,41.84,135.38,Low,Soft,50.2,119.53,60.0,87.9,95.8,92.8,0.947
2023-02-06,2023,2,6,0,Monday,0,,0,0,82,2,138,143,138,5,156.04,100.0,21533.52,220,100.0,97.88,156.04,Low,Moderate,96.5,143.48,138.46,99.0,97.5,94.7,1.045
2023-02-07,2023,2,6,1,Tuesday,0,,0,0,0,0,220,157,157,0,151.51,71.4,23787.07,157,71.4,108.12,151.51,Low,Moderate,66.9,136.44,91.28,109.4,99.4,98.9,1.106
2023-02-08,2023,2,6,2,Wednesday,0,,0,0,0,0,220,163,163,0,155.36,74.1,25323.68,163,74.1,115.11,155.36,Low,High,71.3,150.47,107.29,123.3,101.6,104.3,1.182
2023-02-09,2023,2,6,3,Thursday,0,,0,0,130,2,90,134,90,44,155.59,100.0,14003.1,220,100.0,63.65,155.59,High,Moderate,95.0,142.68,135.55,118.9,100.4,105.5,1.127
2023-02-10,2023,2,6,4,Friday,0,,0,0,100,1,120,111,111,0,157.51,92.5,17483.61,211,95.9,79.47,157.51,Low,Low,88.5,151.63,134.19,118.4,101.5,104.8,1.13
2023-02-11,2023,2,6,5,Saturday,1,,0,0,166,3,54,97,54,43,163.48,100.0,8827.92,220,100.0,40.13,163.48,High,Low,95.5,149.85,143.11,111.6,98.6,102.4,1.09
2023-02-12,2023,2,6,6,Sunday,1,,0,0,84,2,136,69,69,0,136.43,50.7,9413.67,153,69.5,42.79,136.43,Low,Soft,66.7,127.49,85.04,111.7,99.8,101.8,1.097
2023-02-13,2023,2,7,0,Monday,0,,0,0,18,1,202,134,134,0,135.52,66.3,18159.68,152,69.1,82.54,135.52,Low,Moderate,65.9,129.18,85.13,111.1,105.1,103.2,1.077
2023-02-14,2023,2,7,1,Tuesday,0,,0,0,18,1,202,134,134,0,155.8,66.3,20877.2,152,69.1,94.9,155.8,Low,Moderate,64.2,142.58,91.54,107.9,108.6,105.9,1.019
2023-02-15,2023,2,7,2,Wednesday,0,,0,0,193,4,27,142,27,115,166.92,100.0,4506.84,220,100.0,20.49,166.92,High,Moderate,96.6,151.12,145.98,88.4,105.9,102.5,0.862
2023-02-16,2023,2,7,3,Thursday,0,,0,0,220,3,0,141,0,141,160.59,0.0,0.0,220,100.0,0.0,160.59,Sold Out,Moderate,94.5,152.79,144.39,75.6,97.2,97.9,0.772
2023-02-17,2023,2,7,4,Friday,0,,0,0,151,2,69,96,69,27,148.4,100.0,10239.6,220,100.0,46.54,148.4,Medium,Low,95.6,140.84,134.64,69.6,94.0,95.5,0.729
2023-02-18,2023,2,7,5,Saturday,1,,0,0,125,2,95,112,95,17,162.45,100.0,15432.75,220,100.0,70.15,162.45,Medium,Low,96.4,153.38,147.86,75.4,93.5,94.3,0.8
2023-02-19,2023,2,7,6,Sunday,1,,0,0,50,1,170,61,61,0,140.44,35.9,8566.84,111,50.5,38.94,140.44,Low,Soft,47.9,134.73,64.54,74.3,93.0,93.3,0.796
2023-02-20,2023,2,8,0,Monday,0,,0,0,34,1,186,122,122,0,142.62,65.6,17399.64,156,70.9,79.09,142.62,Low,Moderate,68.3,137.91,94.19,72.6,91.9,94.1,0.772
2023-02-21,2023,2,8,1,Tuesday,0,,0,0,68,2,152,135,135,0,153.04,88.8,20660.4,203,92.3,93.91,153.04,Low,Moderate,86.4,146.05,126.19,72.7,90.3,96.7,0.752
2023-02-22,2023,2,8,2,Wednesday,0,,0,0,0,0,220,154,154,0,156.39,70.0,24084.06,154,70.0,109.47,156.39,Low,Moderate,66.2,142.25,94.17,90.9,89.6,98.0,0.928
2023-02-23,2023,2,8,3,Thursday,0,,0,0,0,0,220,119,119,0,151.67,54.1,18048.73,119,54.1,82.04,151.67,Low,Moderate,51.1,139.15,71.11,107.9,91.7,97.6,1.106
2023-02-24,2023,2,8,4,Friday,0,,0,0,0,0,220,100,100,0,145.56,45.5,14556.0,100,45.5,66.16,145.56,Low,Low,43.0,138.78,59.68,112.3,90.9,96.6,1.163
2023-02-25,2023,2,8,5,Saturday,1,,0,0,43,2,177,109,109,0,149.41,61.6,16285.69,152,69.1,74.03,149.41,Low,Low,65.1,137.06,89.23,114.3,94.9,96.6,1.183
2023-02-26,2023,2,8,6,Sunday,1,,0,0,153,2,67,66,66,0,149.19,98.5,9846.54,219,99.5,44.76,149.19,Low,Soft,95.3,140.12,133.53,115.0,94.6,95.6,1.203
2023-02-27,2023,2,9,0,Monday,0,,0,0,220,4,0,131,0,131,163.41,0.0,0.0,220,100.0,0.0,163.41,Sold Out,Moderate,92.5,144.05,133.25,97.6,85.1,92.5,1.055
2023-02-28,2023,2,9,1,Tuesday,0,,0,0,220,3,0,164,0,164,168.28,0.0,0.0,220,100.0,0.0,168.28,Sold Out,High,94.5,163.22,154.24,78.3,75.5,90.7,0.863
2023-03-01,2023,3,9,2,Wednesday,0,,0,0,196,2,24,157,24,133,177.57,100.0,4261.68,220,100.0,19.37,177.57,High,Moderate,92.4,162.48,150.13,59.7,75.3,89.5,0.667
2023-03-02,2023,3,9,3,Thursday,0,Arnold Sports Festival,1,0,155,2,65,218,65,153,195.69,100.0,12719.85,220,100.0,57.82,195.69,High,Peak,93.9,177.64,166.8,52.0,79.9,88.9,0.585
2023-03-03,2023,3,9,4,Friday,0,Arnold Sports Festival,1,0,64,1,156,218,156,62,202.34,100.0,31565.04,220,100.0,143.48,202.34,High,Peak,97.0,179.72,174.33,60.0,86.1,91.9,0.653
2023-03-04,2023,3,9,5,Saturday,1,Arnold Sports Festival,1,0,0,0,220,218,218,0,189.38,99.1,41284.84,218,99.1,187.66,189.38,Low,Peak,95.7,174.27,166.78,75.6,94.9,95.1,0.795
2023-03-05,2023,3,9,6,Sunday,1,Arnold Sports Festival,1,0,0,0,220,218,218,0,179.49,99.1,39128.82,218,99.1,177.86,179.49,Low,Peak,92.9,164.12,152.47,97.3,106.1,98.6,0.987
2023-03-06,2023,3,10,0,Monday,0,,0,0,142,2,78,152,78,74,150.18,100.0,11714.04,220,100.0,53.25,150.18,High,Moderate,96.5,137.14,132.34,108.4,103.0,97.8,1.108
2023-03-07,2023,3,10,1,Tuesday,0,,0,0,142,2,78,163,78,85,180.43,100.0,14073.54,220,100.0,63.97,180.43,High,High,96.1,166.18,159.7,119.6,98.9,98.1,1.219
2023-03-08,2023,3,10,2,Wednesday,0,,0,0,62,1,158,155,155,0,176.36,98.1,27335.8,217,98.6,124.25,176.36,Low,Moderate,92.8,163.58,151.8,138.3,99.0,98.7,1.401
2023-03-09,2023,3,10,3,Thursday,0,,0,0,158,3,62,142,62,80,178.76,100.0,11083.12,220,100.0,50.38,178.76,High,Moderate,95.9,172.71,165.63,137.9,94.9,95.5,1.444
2023-03-10,2023,3,10,4,Friday,0,,0,0,143,2,77,116,77,39,163.21,100.0,12567.17,220,100.0,57.12,163.21,High,Moderate,93.1,147.98,137.77,126.6,93.3,92.7,1.366
2023-03-11,2023,3,10,5,Saturday,1,,0,0,123,2,97,115,97,18,172.44,100.0,16726.68,220,100.0,76.03,172.44,Medium,Moderate,93.6,163.78,153.3,109.3,92.4,92.9,1.177
2023-03-12,2023,3,10,6,Sunday,1,,0,0,0,0,220,72,72,0,145.89,32.7,10504.08,72,32.7,47.75,145.89,Low,Low,30.6,141.11,43.18,88.4,92.9,91.6,0.965
2023-03-13,2023,3,11,0,Monday,0,,0,0,0,0,220,146,146,0,157.02,66.4,22924.92,146,66.4,104.2,157.02,Low,Moderate,62.3,148.8,92.7,98.1,103.3,94.7,1.036
2023-03-14,2023,3,11,1,Tuesday,0,,0,0,0,0,220,154,154,0,167.53,70.0,25799.62,154,70.0,117.27,167.53,Low,Moderate,64.4,147.72,95.13,109.0,114.3,97.5,1.118
2023-03-15,2023,3,11,2,Wednesday,0,,0,0,150,4,70,165,70,95,172.19,100.0,12053.3,220,100.0,54.79,172.19,High,High,93.4,164.79,153.91,96.9,117.6,95.4,1.016
2023-03-16,2023,3,11,3,Thursday,0,,0,0,81,2,139,171,139,32,172.95,100.0,24040.05,220,100.0,109.27,172.95,High,High,94.3,153.06,144.34,107.9,122.9,95.5,1.13
2023-03-17,2023,3,11,4,Friday,0,,0,0,190,4,30,108,30,78,162.13,100.0,4863.9,220,100.0,22.11,162.13,High,Low,92.9,152.85,142.0,101.1,113.9,95.6,1.058
2023-03-18,2023,3,11,5,Saturday,1,,0,0,49,2,171,125,125,0,157.46,73.1,19682.5,174,79.1,89.47,157.46,Low,Moderate,74.8,143.94,107.67,105.1,107.2,99.8,1.053
2023-03-19,2023,3,11,6,Sunday,1,,0,0,214,3,6,72,6,66,158.91,100.0,953.46,220,100.0,4.33,158.91,High,Low,95.2,149.24,142.08,95.7,92.1,97.7,0.98
2023-03-20,2023,3,12,0,Monday,0,,0,0,175,2,45,139,45,94,169.12,100.0,7610.4,220,100.0,34.59,169.12,High,Moderate,94.0,161.09,151.42,81.3,89.7,96.0,0.847
2023-03-21,2023,3,12,1,Tuesday,0,,0,0,104,2,116,159,116,43,180.38,100.0,20924.08,220,100.0,95.11,180.38,High,High,96.3,162.72,156.7,75.9,92.4,97.9,0.775
2023-03-22,2023,3,12,2,Wednesday,0,,0,0,41,1,179,157,157,0,170.96,87.7,26840.72,198,90.0,122.0,170.96,Low,Moderate,84.1,162.77,136.89,88.3,92.6,99.0,0.892
2023-03-23,2023,3,12,3,Thursday,0,,0,0,0,0,220,143,143,0,155.82,65.0,22282.26,143,65.0,101.28,155.82,Low,Moderate,63.0,149.5,94.19,88.9,98.4,99.3,0.895
2023-03-24,2023,3,12,4,Friday,0,,0,0,12,1,208,114,114,0,150.89,54.8,17201.46,126,57.3,78.19,150.89,Low,Low,55.3,137.64,76.11,100.9,101.0,98.0,1.03
2023-03-25,2023,3,12,5,Saturday,1,,0,0,71,1,149,116,116,0,165.95,77.9,19250.2,187,85.0,87.5,165.95,Low,Moderate,79.2,157.51,124.75,99.6,102.4,97.9,1.017
2023-03-26,2023,3,12,6,Sunday,1,,0,0,71,1,149,75,75,0,142.56,50.3,10692.0,146,66.4,48.6,142.56,Low,Low,63.9,136.57,87.27,109.4,102.6,97.0,1.128
2023-03-27,2023,3,13,0,Monday,0,,0,0,99,2,121,148,121,27,167.11,100.0,20220.31,220,100.0,91.91,167.11,Medium,Moderate,94.6,148.52,140.5,120.3,100.8,97.4,1.235
2023-03-28,2023,3,13,1,Tuesday,0,,0,0,145,3,75,185,75,110,179.24,100.0,13443.0,220,100.0,61.1,179.24,High,High,92.6,159.59,147.78,114.4,95.1,97.7,1.171
2023-03-29,2023,3,13,2,Wednesday,0,,0,0,194,5,26,166,26,140,181.94,100.0,4730.44,220,100.0,21.5,181.94,High,High,92.5,168.37,155.74,95.7,92.0,98.6,0.971
2023-03-30,2023,3,13,3,Thursday,0,,0,0,50,1,170,164,164,0,172.92,96.5,28358.88,214,97.3,128.9,172.92,Low,High,92.4,159.31,147.2,98.7,93.8,104.1,0.948
2023-03-31,2023,3,13,4,Friday,0,,0,0,89,3,131,111,111,0,151.08,84.7,16769.88,200,90.9,76.23,151.08,Low,Low,83.9,134.54,112.88,98.3,99.6,107.0,0.919
2023-04-01,2023,4,13,5,Saturday,1,,0,0,39,1,181,139,139,0,168.98,76.8,23488.22,178,80.9,106.76,168.98,Low,Moderate,77.1,151.42,116.74,101.6,100.6,109.4,0.929
2023-04-02,2023,4,13,6,Sunday,1,,0,0,147,3,73,87,73,14,163.98,100.0,11970.54,220,100.0,54.41,163.98,Medium,Low,94.1,147.6,138.89,101.3,105.4,106.7,0.949
2023-04-03,2023,4,14,0,Monday,0,,0,0,216,4,4,160,4,156,160.8,100.0,643.2,220,100.0,2.92,160.8,High,High,96.0,147.87,141.96,84.6,102.4,99.5,0.85
2023-04-04,2023,4,14,1,Tuesday,0,,0,0,215,5,5,218,5,213,179.2,100.0,896.0,220,100.0,4.07,179.2,High,Peak,93.6,158.19,148.07,74.6,94.5,92.4,0.807
2023-04-05,2023,4,14,2,Wednesday,0,,0,0,155,3,65,188,65,123,186.04,100.0,12092.6,220,100.0,54.97,186.04,High,High,95.0,171.24,162.68,80.1,87.9,92.0,0.871
2023-04-06,2023,4,14,3,Thursday,0,,0,0,159,3,61,192,61,131,182.94,100.0,11159.34,220,100.0,50.72,182.94,High,High,92.3,175.46,161.95,65.4,82.1,91.4,0.716
2023-04-07,2023,4,14,4,Friday,0,,0,0,44,1,176,140,140,0,164.82,79.5,23074.8,184,83.6,104.89,164.82,Low,Moderate,80.9,147.87,119.63,69.6,83.9,90.9,0.766
2023-04-08,2023,4,14,5,Saturday,1,,0,0,89,2,131,150,131,19,187.81,100.0,24603.11,220,100.0,111.83,187.81,Medium,Moderate,96.2,170.06,163.6,68.4,85.0,93.2,0.734
2023-04-09,2023,4,14,6,Sunday,1,,0,0,93,2,127,90,90,0,154.7,70.9,13923.0,183,83.2,63.29,154.7,Low,Low,78.0,148.1,115.52,70.9,86.1,93.7,0.757
2023-04-10,2023,4,15,0,Monday,0,,0,0,57,1,163,187,163,24,178.2,100.0,29046.6,220,100.0,132.03,178.2,Medium,High,92.1,159.02,146.46,93.6,89.1,95.9,0.976
2023-04-11,2023,4,15,1,Tuesday,0,,0,0,108,2,112,204,112,92,187.02,100.0,20946.24,220,100.0,95.21,187.02,High,Peak,95.3,177.49,169.15,108.9,91.7,97.2,1.12
2023-04-12,2023,4,15,2,Wednesday,0,,0,0,220,5,0,189,0,189,184.73,0.0,0.0,220,100.0,0.0,184.73,Sold Out,High,93.2,170.29,158.71,99.6,89.9,92.3,1.079
2023-04-13,2023,4,15,3,Thursday,0,,0,0,220,5,0,187,0,187,191.38,0.0,0.0,220,100.0,0.0,191.38,Sold Out,High,94.9,182.99,173.66,90.9,78.1,87.2,1.042
2023-04-14,2023,4,15,4,Friday,0,,0,0,96,2,124,153,124,29,174.27,100.0,21609.48,220,100.0,98.22,174.27,Medium,Moderate,96.2,167.64,161.27,88.6,79.1,89.0,0.996
2023-04-15,2023,4,15,5,Saturday,1,,0,0,52,1,168,123,123,0,164.94,73.2,20287.62,175,79.5,92.22,164.94,Low,Moderate,76.4,145.92,111.48,87.4,77.9,88.5,0.988
2023-04-16,2023,4,15,6,Sunday,1,,0,0,52,1,168,88,88,0,156.83,52.4,13801.04,140,63.6,62.73,156.83,Low,Low,59.2,139.13,82.36,87.1,79.0,90.4,0.963
2023-04-17,2023,4,16,0,Monday,0,,0,0,46,2,174,185,174,11,170.93,100.0,29741.82,220,100.0,135.19,170.93,Medium,High,92.7,163.56,151.62,88.7,91.1,92.0,0.964
2023-04-18,2023,4,16,1,Tuesday,0,,0,0,37,1,183,178,178,0,181.37,97.3,32283.86,215,97.7,146.74,181.37,Low,High,90.7,167.58,152.0,98.1,103.5,97.8,1.003
2023-04-19,2023,4,16,2,Wednesday,0,,0,0,0,0,220,179,179,0,185.82,81.4,33261.78,179,81.4,151.19,185.82,Low,High,76.0,175.92,133.7,123.7,111.6,102.2,1.21
2023-04-20,2023,4,16,3,Thursday,0,,0,0,0,0,220,182,182,0,166.72,82.7,30343.04,182,82.7,137.92,166.72,Low,High,78.1,150.06,117.2,149.7,120.3,104.4,1.434
2023-04-21,2023,4,16,4,Friday,0,,0,0,92,1,128,150,128,22,173.23,100.0,22173.44,220,100.0,100.79,173.23,Medium,Moderate,94.6,165.52,156.58,150.3,119.4,103.5,1.452
2023-04-22,2023,4,16,5,Saturday,1,,0,0,220,6,0,153,0,153,180.6,0.0,0.0,220,100.0,0.0,180.6,Sold Out,Moderate,95.0,161.81,153.72,132.7,110.1,98.7,1.344
2023-04-23,2023,4,16,6,Sunday,1,,0,0,220,5,0,95,0,95,159.64,0.0,0.0,220,100.0,0.0,159.64,Sold Out,Low,92.7,148.5,137.66,120.1,103.6,94.9,1.266
2023-04-24,2023,4,17,0,Monday,0,,0,0,124,2,96,164,96,68,166.05,100.0,15940.8,220,100.0,72.46,166.05,High,High,94.4,150.85,142.4,109.0,98.9,94.2,1.157
2023-04-25,2023,4,17,1,Tuesday,0,,0,0,95,2,125,218,125,93,175.14,100.0,21892.5,220,100.0,99.51,175.14,High,Peak,93.2,160.46,149.55,101.4,99.8,95.9,1.057
2023-04-26,2023,4,17,2,Wednesday,0,,0,0,110,3,110,218,110,108,192.05,100.0,21125.5,220,100.0,96.03,192.05,High,Peak,92.3,171.26,158.07,91.6,107.6,95.5,0.959
2023-04-27,2023,4,17,3,Thursday,0,,0,0,52,1,168,197,168,29,179.67,100.0,30184.56,220,100.0,137.2,179.67,Medium,Peak,95.2,160.27,152.58,89.6,119.6,98.6,0.909
2023-04-28,2023,4,17,4,Friday,0,,0,0,0,0,220,135,135,0,160.55,61.4,21674.25,135,61.4,98.52,160.55,Low,Moderate,57.1,153.24,87.5,90.6,120.4,102.3,0.886
2023-04-29,2023,4,17,5,Saturday,1,,0,0,22,1,198,146,146,0,165.34,73.7,24139.64,168,76.4,109.73,165.34,Low,Moderate,73.8,154.53,114.04,111.4,122.1,101.7,1.095
2023-04-30,2023,4,17,6,Sunday,1,,0,0,89,1,131,86,86,0,152.59,65.6,13122.74,175,79.5,59.65,152.59,Low,Low,73.9,138.08,102.04,123.7,121.9,100.8,1.227
2023-05-01,2023,5,18,0,Monday,0,,0,0,220,5,0,210,0,210,170.63,0.0,0.0,220,100.0,0.0,170.63,Sold Out,Peak,93.4,158.78,148.3,110.0,109.5,96.2,1.143
2023-05-02,2023,5,18,1,Tuesday,0,,0,0,220,8,0,205,0,205,196.39,0.0,0.0,220,100.0,0.0,196.39,Sold Out,Peak,93.2,186.51,173.83,92.1,96.8,93.8,0.982
2023-05-03,2023,5,18,2,Wednesday,0,,0,0,208,5,12,203,12,191,190.5,100.0,2286.0,220,100.0,10.39,190.5,High,Peak,92.5,177.07,163.79,78.1,84.9,94.0,0.831
2023-05-04,2023,5,18,3,Thursday,0,,0,0,86,3,134,176,134,42,179.17,100.0,24008.78,220,100.0,109.13,179.17,High,High,95.9,166.06,159.25,73.3,81.4,98.3,0.746
2023-05-05,2023,5,18,4,Friday,0,,0,0,150,3,70,149,70,79,174.28,100.0,12199.6,220,100.0,55.45,174.28,High,Moderate,95.4,159.54,152.2,64.0,77.3,98.5,0.65
2023-05-06,2023,5,18,5,Saturday,1,,0,0,79,1,141,157,141,16,176.39,100.0,24870.99,220,100.0,113.05,176.39,Medium,Moderate,95.1,161.79,153.86,63.3,87.4,101.2,0.625
2023-05-07,2023,5,18,6,Sunday,1,,0,0,64,1,156,97,97,0,149.63,62.2,14514.11,161,73.2,65.97,149.63,Low,Low,70.3,131.9,92.73,64.9,94.3,99.7,0.651
2023-05-08,2023,5,19,0,Monday,0,,0,0,71,2,149,197,149,48,177.07,100.0,26383.43,220,100.0,119.92,177.07,High,Peak,94.4,159.25,150.33,86.1,98.1,100.3,0.858
2023-05-09,2023,5,19,1,Tuesday,0,,0,0,0,0,220,215,215,0,199.94,97.7,42987.1,215,97.7,195.4,199.94,Low,Peak,91.7,189.16,173.46,116.9,104.5,104.5,1.119
2023-05-10,2023,5,19,2,Wednesday,0,,0,0,119,2,101,218,101,117,189.53,100.0,19142.53,220,100.0,87.01,189.53,High,Peak,96.4,169.2,163.11,129.6,103.9,102.4,1.266
2023-05-11,2023,5,19,3,Thursday,0,,0,0,119,2,101,191,101,90,179.99,100.0,18178.99,220,100.0,82.63,179.99,High,High,93.2,164.61,153.42,124.9,99.1,102.1,1.223
