RFP_ID,Status,Account_Name,Event_Name,Event_Type,Event_Format,Event_Configuration,Market_Segment,Organization_Industry,Lead_Source,Client_Priority,Inquiry_Date,Decision_Date,Decision_Days,Arrival_Date,Departure_Date,Nights,Lead_Time,Peak_Room_Block,Total_Room_Nights_Requested,Attendees,Has_Meeting_Space,Meeting_Spaces,Has_FnB_Requirements,Has_Special_Requirements,Response_Due_Days,Budget_Provided,Budget_Amount,Destinations_Considered,Forecasted_Occupancy,Baseline_ADR,Quoted_ADR,Proposed_Room_Revenue,Proposed_Meeting_Revenue,Proposed_FnB_Revenue,Proposed_Total_Revenue,Actual_Room_Nights,Actual_Room_Revenue,Actual_Meeting_Revenue,Actual_FnB_Revenue,Actual_Total_Revenue,Actual_Pickup_Rate,Actual_FnB_Per_Person,Lost_Reason,Year,Month,Num_Room_Types,Pct_Standard_Rooms,Pct_Premium_Rooms,Has_Suites,Rate_Spread,Min_Room_Rate,Max_Room_Rate,Suite_Rate,Standard_Rate,Peak_Night_Index,Night_Variance_Pct,Rooms_Night_1,Rooms_Night_2,Rooms_Night_3,Rooms_Night_4,Num_Meeting_Rooms,Num_Sessions,Num_Meeting_Days,Total_Meeting_Hours,Uses_Ballroom,Uses_Boardroom,Num_Setup_Styles,Primary_Setup,Max_AV_Level,Has_Premium_AV,Avg_AV_Level,Total_Room_Rental,Total_AV_Cost,Total_Session_FnB,Total_Meeting_Cost,Num_FnB_Types,Has_Dinner,Has_Reception,Has_Evening_Session,Full_Day_Pct,Avg_Room_Utilization
B-10018,Booked,WP Engine Corporate Events,Strategic Planning Retreat,Corporate,In-person,Rooms Only,Technology,Technology,Referral,Low,2027-01-11,2027-02-01,16,2027-04-28,2027-05-01,3,107,80,180,103,1,Multi-Room,1,0,17,1,0.0,4,0.76,183.7,196,35280,16974.45,15458.45,67712.91,141,27636,15290.51,13550.85,56477.36,0.79,50.03,,2027,4,3,59.0,41.0,1,129.34,166.6,225.4,303.8,196,2,0.3,78,79,65,0,4,8,3,31,0,0,3,Reception,1,1,2.67,15211.13,1763.32,4637.54,16974.45,3,0,1,0,63.7,0.8
B-10019,Booked,Vertex Pharmaceuticals,Regional Manager Training,Corporate,Virtual,Meeting + F&B,Pharmaceutical,Finance,Direct Inquiry,Low,2026-12-17,2026-12-29,15,2027-05-12,2027-05-15,3,146,70,189,134,0,,1,1,14,1,133032.91,1,0.81,200.35,192,36288,0,15734.03,52022.03,167,32064,0.0,14309.44,46373.44,0.89,39.14,,2027,5,1,68.9,31.1,0,117.41,163.2,220.8,297.6,192,3,10.1,55,54,61,0,0,0,0,0,0,0,3,Reception,3,0,2.58,0.0,0,4720.21,0,1,1,0,1,36.9,0.85
B-10020,Booked,Ohio Dental Association,Awards Gala,Association,In-person,Rooms Only,Healthcare,Education,Website,Medium,2027-02-15,2027-03-06,21,2027-05-19,2027-05-22,3,93,85,196,168,0,,1,1,18,0,174082.82,4,0.78,197.56,178,34888,0,66075.34,100963.34,140,24920,0.0,69191.23,94111.23,0.72,131.1,,2027,5,3,60.2,39.8,1,42.94,151.3,204.7,275.9,178,2,3.3,70,74,65,0,0,0,0,0,0,0,1,Theater,3,0,2.96,0.0,0,19822.6,0,3,1,0,1,27.6,0.94
B-10021,Booked,Nationwide Insurance Training,QNationwide Sales Kickoff,Corporate,Hybrid,Rooms Only,Finance,Legal,Repeat Client,High,2026-12-21,2027-01-14,15,2027-06-07,2027-06-10,3,168,60,137,66,1,Full Ballroom,0,0,8,0,0.0,3,0.71,175.6,182,24934,4948.11,0,29882.11,112,20384,4273.79,0.0,24657.79,0.82,0,,2027,6,1,64.7,35.3,0,55.68,154.7,209.3,282.1,182,1,1.9,56,53,49,0,1,5,3,39,1,0,1,Classroom,4,1,2.56,4504.54,443.57,0.0,4948.11,0,0,1,0,94.5,0.57
B-10022,Booked,Verizon Enterprise Team,Staff Development Program,Corporate,Hybrid,Meeting + F&B,Technology,Education,Repeat Client,Medium,2027-02-04,2027-02-14,29,2027-07-14,2027-07-16,2,160,45,63,80,1,Boardroom,1,0,11,1,0.0,2,0.72,173.34,187,11781,13645.37,6834.64,32261.01,42,7854,13258.65,5602.39,26715.04,0.67,42.72,,2027,7,2,58.5,41.5,1,75.89,158.95,215.05,289.85,187,1,4.7,39,38,0,0,4,4,2,22,0,0,1,U-Shape,4,0,1.18,10884.29,2761.08,2050.39,13645.37,1,0,1,0,74.5,0.7
B-10023,Booked,SHRM Columbus Chapter,Awards Gala,Association,In-person,Rooms Only,Professional Services,Government,Direct Inquiry,Medium,2027-05-27,2027-06-06,15,2027-08-11,2027-08-14,3,76,55,143,93,1,Full Ballroom,1,0,18,0,174722.87,3,0.68,187.89,165,23595,14201.81,35195.76,72992.57,123,20295,14822.14,34496.17,69613.32,0.87,126.15,,2027,8,1,54.5,45.5,1,122.94,140.25,189.75,255.75,165,2,0.1,47,52,46,0,4,8,3,15,1,0,2,Boardroom,1,0,2.48,10740.45,3461.36,10558.73,14201.81,1,0,0,1,42.0,0.69
B-10024,Booked,American Bankers Conference,Member Education Symposium,Association,Virtual,Meeting + F&B,Finance,Healthcare,RFP,Medium,2027-05-31,2027-06-26,8,2027-09-15,2027-09-18,3,107,105,303,145,1,Multi-Room,1,0,11,1,198816.9,3,0.77,210.05,205,62115,4502.77,37407.6,104025.37,237,48585,4073.36,38398.26,91056.62,0.78,85.99,,2027,9,2,58.2,41.8,0,84.76,174.25,235.75,317.75,205,2,2.6,94,92,86,0,1,5,3,40,0,1,3,Boardroom,3,0,1.79,4030.67,472.1,11222.28,4502.77,1,1,0,1,92.1,0.89
B-10025,Booked,Cardinal Health Learning Center,Regional Manager Training,Corporate,Virtual,Day Meeting Only,Healthcare,Healthcare,Third-Party Planner,Medium,2027-05-12,2027-05-21,23,2027-09-22,2027-09-25,3,133,90,240,133,1,Boardroom,1,0,21,0,106862.56,2,0.79,196.12,198,47520,5629.91,33240.76,86390.67,205,40590,5192.86,30947.6,76730.46,0.86,83.31,,2027,9,1,52.6,47.4,1,57.75,168.3,227.7,306.9,198,3,2.3,76,74,75,0,1,8,3,10,0,0,3,Theater,4,1,2.51,5258.04,371.87,9972.23,5629.91,5,1,1,1,15.1,0.58
B-10026,Booked,IEEE Central Ohio,Annual Conference,Association,Virtual,Day Meeting Only,Technology,Manufacturing,Website,Low,2027-06-12,2027-06-22,17,2027-10-06,2027-10-09,3,116,110,238,215,1,Full Ballroom,1,0,21,0,0.0,4,0.82,193.74,190,45220,3235.77,88767.28,137223.06,161,30590,3134.87,81252.67,114977.54,0.68,137.62,,2027,10,2,63.1,36.9,0,72.75,161.5,218.5,294.5,190,2,5.8,87,99,96,0,1,8,3,27,1,0,1,Boardroom,3,0,1.66,2748.7,487.08,26630.19,3235.77,5,1,1,1,72.4,0.81
B-10027,Booked,CoverMyMeds Staff Programs,QCoverMyMeds Sales Kickoff,Corporate,Virtual,Full Package,Technology,Government,Third-Party Planner,Medium,2027-04-27,2027-05-14,22,2027-10-20,2027-10-23,3,176,75,163,88,1,Breakout Room,1,0,12,0,0.0,3,0.82,195.95,194,31622,18488.42,25734.54,75844.96,151,29294,16859.89,23495.74,69649.62,0.93,97.48,,2027,10,1,62.7,37.3,0,99.57,164.9,223.1,300.7,194,3,2.0,64,63,63,0,3,5,3,15,0,0,3,Boardroom,2,1,1.09,15792.98,2695.44,7720.36,18488.42,3,0,1,1,75.2,0.86
B-10028,Booked,Ohio State Bar Foundation,Annual Conference,Association,Hybrid,Day Meeting Only,Legal,Finance,RFP,High,2027-08-06,2027-08-15,12,2027-11-03,2027-11-06,3,89,80,228,109,1,Multi-Room,1,1,19,0,50176.99,2,0.81,203.24,178,40584,14483.31,29555.33,84622.64,214,38092,14677.07,30748.71,83517.78,0.94,90.38,,2027,11,2,72.1,27.9,0,77.34,151.3,204.7,275.9,178,2,7.5,78,74,70,0,4,3,3,30,0,1,2,U-Shape,2,0,1.64,12556.22,1927.09,8866.6,14483.31,1,1,0,0,3.8,0.92
B-10029,Booked,AAA Ohio Corp Training,AAA Annual Leadership Summit,Corporate,In-person,Full Package,Finance,Education,Third-Party Planner,Medium,2027-07-20,2027-08-11,26,2027-11-17,2027-11-19,2,120,55,100,64,1,Full Ballroom,0,0,21,0,94079.84,1,0.83,191.6,172,17200,1268.87,0,18468.87,93,15996,1233.05,0.0,17229.05,0.93,0,,2027,11,3,58.8,41.2,1,56.86,146.2,197.8,266.6,172,1,7.9,50,49,0,0,1,4,2,10,1,1,3,Reception,1,1,2.75,853.21,415.65,0.0,1268.87,0,0,1,1,25.4,0.56
B-10030,Booked,Dublin Community Awards,Awards Banquet,SMERF,In-person,Day Meeting Only,Government,Finance,Third-Party Planner,High,2027-07-01,2027-07-17,23,2027-12-08,2027-12-10,2,160,40,69,51,1,Half Ballroom,1,1,20,1,0.0,2,0.55,157.94,158,10902,2324.98,12463.41,25690.39,59,9322,2432.31,11759.97,23514.28,0.86,122.19,,2027,12,2,58.9,41.1,0,117.92,134.3,181.7,244.9,158,2,4.1,32,37,0,0,1,8,2,29,1,0,2,Banquet,4,1,1.68,1786.44,538.55,3739.02,2324.98,2,1,1,1,92.4,0.76
B-10031,Booked,Sports Booster Gala,Anniversary Celebration,Social,Hybrid,Day Meeting Only,Association,Technology,Direct Inquiry,Medium,2026-02-25,2026-03-04,11,2026-04-06,2026-04-07,1,40,42,37,58,1,Multi-Room,1,1,6,0,0.0,3,0.78,190.88,158.81,5876.03,5108.84,6456.3,17441.17,34,5399.59,4970.75,6007.47,16377.82,0.92,111.32,,2026,4,2,59.6,40.4,0,94.46,134.99,182.63,246.16,158.81,1,10.2,39,0,0,0,4,4,1,29,0,0,1,U-Shape,2,1,1.8,2533.21,2575.63,1936.89,5108.84,3,0,0,0,73.6,0.75
B-10032,Booked,Wedding – Liu/Bennett,Charity Fundraiser Gala,SMERF,Hybrid,Meeting + F&B,Government,Government,Website,High,2026-03-13,2026-04-05,14,2026-04-27,2026-04-29,2,45,50,74,86,0,,1,0,11,0,0.0,4,0.73,183.99,156.39,11573.05,0,24030.56,35603.61,66,10321.91,0.0,26336.83,36658.74,0.89,139.71,,2026,4,1,59.0,41.0,1,82.07,132.93,179.85,242.41,156.39,1,9.2,46,49,0,0,0,0,0,0,0,0,2,Classroom,4,1,2.05,0.0,0,7209.17,0,4,0,0,1,64.2,0.73
B-10033,Booked,Public Health Professionals Assoc,Family Reunion,Social,Hybrid,Full Package,Social,Government,Repeat Client,Low,2026-02-26,2026-03-21,27,2026-05-11,2026-05-14,3,74,48,140,103,0,,0,0,9,0,188539.21,5,0.72,166.73,147.54,20655.69,0,0,20655.69,97,14311.45,0.0,0.0,14311.45,0.7,0,,2026,5,2,71.1,28.9,0,114.27,125.41,169.67,228.69,147.54,1,1.2,43,42,37,0,0,0,0,0,0,0,3,Classroom,3,0,2.53,0.0,0,0.0,0,0,1,0,1,88.9,0.77
B-10034,Booked,Cybersecurity Professionals Network,Policy Roundtable,Government,Hybrid,Rooms Only,SMERF,Manufacturing,Repeat Client,High,2026-02-23,2026-03-21,20,2026-05-25,2026-05-28,3,91,34,81,62,0,,1,0,10,1,188648.25,2,0.66,198.53,176.62,14306.47,0,25806.1,40112.57,61,10774.01,0.0,26533.82,37307.83,0.75,138.74,,2026,5,1,62.5,37.5,1,84.89,150.13,203.12,273.77,176.62,2,7.5,27,27,26,0,0,0,0,0,0,0,2,Theater,4,0,1.43,0.0,0,7741.83,0,3,0,0,1,49.5,0.9
B-10035,Booked,SHRM Columbus Chapter,Staff Development Program,Corporate,Hybrid,Day Meeting Only,Corporate,Healthcare,Third-Party Planner,Low,2026-03-27,2026-04-19,8,2026-06-01,2026-06-04,3,66,45,125,92,1,Boardroom,1,0,6,0,206872.49,5,0.66,183.95,170.91,21363.79,3989.84,11790.95,37144.57,100,17091.03,4001.33,10422.21,31514.57,0.8,42.72,,2026,6,2,53.7,46.3,0,69.52,145.27,196.55,264.91,170.91,3,4.8,40,37,35,0,1,5,3,25,0,0,3,Banquet,4,1,1.95,3595.18,394.66,3537.29,3989.84,1,1,1,0,98.0,0.78
B-10036,Booked,Biotech Startup Summit,Holiday Celebration,SMERF,Virtual,Day Meeting Only,Social,Legal,Referral,Medium,2026-05-13,2026-06-05,19,2026-06-15,2026-06-18,3,33,55,146,102,1,Half Ballroom,0,1,10,1,105311.94,3,0.68,172.77,157.97,23063.58,4961.6,0,28025.19,95,15007.13,4528.65,0.0,19535.77,0.66,0,,2026,6,3,69.3,30.7,1,94.91,134.27,181.67,244.85,157.97,1,14.4,42,43,44,0,2,4,3,25,1,0,2,Boardroom,3,0,2.38,2665.19,2296.41,0.0,4961.6,0,1,1,1,34.9,0.92
B-10037,Booked,Dublin HR Collective,Anniversary Celebration,Social,In-person,Meeting + F&B,Social,Manufacturing,RFP,Low,2026-05-01,2026-05-28,14,2026-07-06,2026-07-09,3,66,32,94,69,1,Breakout Room,1,0,8,1,0.0,4,0.65,174.55,164.56,15468.39,3322.19,16860.04,35650.62,68,11189.9,3142.18,14510.1,28842.17,0.73,81.45,,2026,7,1,67.0,33.0,0,40.47,139.87,189.24,255.06,164.56,3,14.7,28,28,25,0,1,3,3,32,0,0,2,Theater,4,0,2.51,2408.05,914.14,5058.01,3322.19,3,1,1,0,90.8,0.59
B-10038,Booked,American Bankers Conference,Professional Development Forum,Association,Virtual,Rooms Only,Government,Manufacturing,Repeat Client,Medium,2026-04-13,2026-05-12,12,2026-07-20,2026-07-23,3,98,29,73,35,1,Breakout Room,0,0,15,1,196602.21,2,0.72,200.99,176.78,12904.74,2006.88,0,14911.62,68,12020.85,1820.07,0.0,13840.92,0.94,0,,2026,7,3,71.4,28.6,1,114.43,150.26,203.29,274.0,176.78,3,4.9,23,27,24,0,1,5,3,12,0,0,1,Reception,4,1,2.87,1238.92,767.96,0.0,2006.88,0,0,1,1,23.6,0.85
B-10039,Booked,Cardinal Health Learning Center,Staff Development Program,Corporate,Hybrid,Meeting + F&B,SMERF,Pharmaceutical,Website,Low,2026-04-14,2026-04-28,28,2026-07-27,2026-07-29,2,104,34,50,62,1,Boardroom,1,0,21,1,109592.67,5,0.69,163.74,135.79,6789.7,10714.57,9125.42,26629.7,35,4752.79,11158.93,8609.42,24521.14,0.72,73.59,,2026,7,1,51.5,48.5,0,91.54,115.42,156.16,210.48,135.79,1,2.5,30,29,0,0,3,8,2,39,0,0,3,Boardroom,2,1,1.18,8198.44,2516.13,2737.63,10714.57,5,1,0,1,13.2,0.72
B-10040,Booked,Midwestern Financial Group,Awards Banquet,SMERF,Hybrid,Day Meeting Only,Corporate,Finance,Website,Low,2026-05-01,2026-05-28,18,2026-08-10,2026-08-13,3,101,18,43,35,0,,1,0,10,1,190128.79,2,0.66,176.72,146.11,6282.87,0,4435.94,10718.81,39,5698.42,0.0,4092.86,9791.28,0.93,42.25,,2026,8,1,68.9,31.1,1,81.67,124.2,168.03,226.48,146.11,3,8.2,15,17,15,0,0,0,0,0,0,0,1,Reception,2,1,1.69,0.0,0,1330.78,0,3,0,0,0,80.9,0.72
B-10041,Booked,Retail CFO Council,Staff Development Program,Corporate,In-person,Meeting + F&B,Social,Government,Repeat Client,Medium,2026-06-22,2026-07-12,16,2026-08-17,2026-08-18,1,56,30,21,51,1,Boardroom,1,1,6,0,123984.13,4,0.61,166.49,154.09,3235.8,4581.38,2087.26,9904.44,16,2465.37,4159.22,2180.63,8805.22,0.8,40.93,,2026,8,1,74.3,25.7,1,110.72,130.97,177.2,238.83,154.09,1,4.8,29,0,0,0,4,5,1,32,0,0,2,Banquet,2,1,1.48,2912.3,1669.08,626.18,4581.38,2,1,0,1,91.5,0.77
