GEOID,checkpoint_year,median_income,child_poverty_pct,income_definition
0101690,2013,41250.0,34.6,"median family income, families with own children under 18 (B19125_002E)"
0101710,2013,32346.0,41.8,"median family income, families with own children under 18 (B19125_002E)"
0101720,2013,26219.0,44.6,"median family income, families with own children under 18 (B19125_002E)"
0101730,2013,67632.0,9.9,"median family income, families with own children under 18 (B19125_002E)"
0101740,2013,54328.0,20.6,"median family income, families with own children under 18 (B19125_002E)"
0101760,2013,83839.0,11.1,"median family income, families with own children under 18 (B19125_002E)"
0101770,2013,46859.0,27.4,"median family income, families with own children under 18 (B19125_002E)"
0101800,2013,56156.0,25.3,"median family income, families with own children under 18 (B19125_002E)"
0101830,2013,49318.0,21.7,"median family income, families with own children under 18 (B19125_002E)"
0101860,2013,40929.0,43.8,"median family income, families with own children under 18 (B19125_002E)"
0101890,2013,44306.0,28.6,"median family income, families with own children under 18 (B19125_002E)"
0101920,2013,60856.0,19.0,"median family income, families with own children under 18 (B19125_002E)"
0101950,2013,40542.0,30.6,"median family income, families with own children under 18 (B19125_002E)"
0101980,2013,13413.0,63.8,"median family income, families with own children under 18 (B19125_002E)"
0102010,2013,57379.0,17.0,"median family income, families with own children under 18 (B19125_002E)"
0102040,2013,49080.0,24.6,"median family income, families with own children under 18 (B19125_002E)"
0102070,2013,57171.0,17.7,"median family income, families with own children under 18 (B19125_002E)"
0102100,2013,52370.0,20.7,"median family income, families with own children under 18 (B19125_002E)"
0102130,2013,43750.0,32.6,"median family income, families with own children under 18 (B19125_002E)"
0102160,2013,38403.0,37.6,"median family income, families with own children under 18 (B19125_002E)"
0102190,2013,26973.0,43.5,"median family income, families with own children under 18 (B19125_002E)"
0102220,2013,76985.0,13.0,"median family income, families with own children under 18 (B19125_002E)"
0102250,2013,47448.0,30.8,"median family income, families with own children under 18 (B19125_002E)"
0102310,2013,37993.0,33.3,"median family income, families with own children under 18 (B19125_002E)"
0102350,2013,38553.0,26.1,"median family income, families with own children under 18 (B19125_002E)"
0102370,2013,47808.0,29.1,"median family income, families with own children under 18 (B19125_002E)"
0102400,2013,30558.0,42.4,"median family income, families with own children under 18 (B19125_002E)"
0102430,2013,47948.0,31.5,"median family income, families with own children under 18 (B19125_002E)"
0102480,2013,62070.0,16.6,"median family income, families with own children under 18 (B19125_002E)"
0102490,2013,160921.0,2.2,"median family income, families with own children under 18 (B19125_002E)"
0102520,2013,68013.0,14.8,"median family income, families with own children under 18 (B19125_002E)"
0102550,2013,32267.0,29.1,"median family income, families with own children under 18 (B19125_002E)"
0102580,2013,41157.0,38.2,"median family income, families with own children under 18 (B19125_002E)"
0102610,2013,46111.0,41.6,"median family income, families with own children under 18 (B19125_002E)"
0102635,2013,55536.0,23.4,"median family income, families with own children under 18 (B19125_002E)"
0102640,2013,52019.0,24.3,"median family income, families with own children under 18 (B19125_002E)"
0102650,2013,44561.0,27.4,"median family income, families with own children under 18 (B19125_002E)"
0102670,2013,26696.0,37.4,"median family income, families with own children under 18 (B19125_002E)"
0102700,2013,36483.0,30.9,"median family income, families with own children under 18 (B19125_002E)"
0102730,2013,28462.0,36.7,"median family income, families with own children under 18 (B19125_002E)"
0102760,2013,26505.0,44.3,"median family income, families with own children under 18 (B19125_002E)"
0102790,2013,34766.0,32.4,"median family income, families with own children under 18 (B19125_002E)"
0102820,2013,45976.0,26.9,"median family income, families with own children under 18 (B19125_002E)"
0102850,2013,32982.0,47.0,"median family income, families with own children under 18 (B19125_002E)"
0102880,2013,44398.0,25.2,"median family income, families with own children under 18 (B19125_002E)"
0102910,2013,37278.0,43.8,"median family income, families with own children under 18 (B19125_002E)"
0102940,2013,45089.0,19.8,"median family income, families with own children under 18 (B19125_002E)"
0102970,2013,20597.0,66.9,"median family income, families with own children under 18 (B19125_002E)"
0103000,2013,32440.0,41.1,"median family income, families with own children under 18 (B19125_002E)"
0103030,2013,79829.0,12.2,"median family income, families with own children under 18 (B19125_002E)"
0103062,2013,60571.0,20.6,"median family income, families with own children under 18 (B19125_002E)"
0103090,2013,24095.0,46.9,"median family income, families with own children under 18 (B19125_002E)"
0103120,2013,37120.0,44.4,"median family income, families with own children under 18 (B19125_002E)"
0103150,2013,21331.0,47.0,"median family income, families with own children under 18 (B19125_002E)"
0103180,2013,40911.0,32.9,"median family income, families with own children under 18 (B19125_002E)"
0103210,2013,45880.0,27.2,"median family income, families with own children under 18 (B19125_002E)"
0103240,2013,58381.0,7.2,"median family income, families with own children under 18 (B19125_002E)"
0103270,2013,17483.0,60.5,"median family income, families with own children under 18 (B19125_002E)"
0103300,2013,39570.0,28.6,"median family income, families with own children under 18 (B19125_002E)"
0103330,2013,36875.0,29.4,"median family income, families with own children under 18 (B19125_002E)"
0103360,2013,42436.0,34.8,"median family income, families with own children under 18 (B19125_002E)"
0103390,2013,64691.0,18.4,"median family income, families with own children under 18 (B19125_002E)"
0103420,2013,44853.0,31.5,"median family income, families with own children under 18 (B19125_002E)"
0103430,2013,119037.0,5.4,"median family income, families with own children under 18 (B19125_002E)"
0103450,2013,42532.0,29.6,"median family income, families with own children under 18 (B19125_002E)"
0103480,2013,51646.0,25.1,"median family income, families with own children under 18 (B19125_002E)"
0103510,2013,18750.0,50.3,"median family income, families with own children under 18 (B19125_002E)"
0103540,2013,66726.0,15.9,"median family income, families with own children under 18 (B19125_002E)"
0103580,2013,41029.0,36.4,"median family income, families with own children under 18 (B19125_002E)"
0200001,2013,55486.0,26.0,"median family income, families with own children under 18 (B19125_002E)"
0200003,2013,38698.0,38.0,"median family income, families with own children under 18 (B19125_002E)"
0200004,2013,35000.0,43.2,"median family income, families with own children under 18 (B19125_002E)"
0200005,2013,32344.0,43.3,"median family income, families with own children under 18 (B19125_002E)"
0200007,2013,59167.0,24.0,"median family income, families with own children under 18 (B19125_002E)"
0200010,2013,68125.0,4.8,"median family income, families with own children under 18 (B19125_002E)"
0200020,2013,36190.0,43.9,"median family income, families with own children under 18 (B19125_002E)"
0200030,2013,71563.0,7.6,"median family income, families with own children under 18 (B19125_002E)"
0200050,2013,39643.0,28.6,"median family income, families with own children under 18 (B19125_002E)"
0200060,2013,103281.0,0.0,"median family income, families with own children under 18 (B19125_002E)"
0200070,2013,83026.0,13.2,"median family income, families with own children under 18 (B19125_002E)"
0200090,2013,60278.0,33.0,"median family income, families with own children under 18 (B19125_002E)"
0200100,2013,75022.0,18.0,"median family income, families with own children under 18 (B19125_002E)"
0200120,2013,74063.0,14.1,"median family income, families with own children under 18 (B19125_002E)"
0200130,2013,66250.0,6.7,"median family income, families with own children under 18 (B19125_002E)"
0200150,2013,78083.0,10.9,"median family income, families with own children under 18 (B19125_002E)"
0200180,2013,81135.0,11.0,"median family income, families with own children under 18 (B19125_002E)"
0200210,2013,84063.0,8.5,"median family income, families with own children under 18 (B19125_002E)"
0200240,2013,75129.0,14.7,"median family income, families with own children under 18 (B19125_002E)"
0200270,2013,46298.0,6.7,"median family income, families with own children under 18 (B19125_002E)"
0200300,2013,44167.0,32.9,"median family income, families with own children under 18 (B19125_002E)"
0200330,2013,43750.0,18.8,"median family income, families with own children under 18 (B19125_002E)"
0200360,2013,41042.0,35.6,"median family income, families with own children under 18 (B19125_002E)"
0200390,2013,72914.0,10.2,"median family income, families with own children under 18 (B19125_002E)"
0200450,2013,36875.0,25.6,"median family income, families with own children under 18 (B19125_002E)"
0200480,2013,65476.0,13.3,"median family income, families with own children under 18 (B19125_002E)"
0200485,2013,51000.0,25.9,"median family income, families with own children under 18 (B19125_002E)"
0200510,2013,79056.0,12.9,"median family income, families with own children under 18 (B19125_002E)"
0200520,2013,55625.0,23.2,"median family income, families with own children under 18 (B19125_002E)"
0200525,2013,50278.0,18.7,"median family income, families with own children under 18 (B19125_002E)"
0200540,2013,61250.0,15.6,"median family income, families with own children under 18 (B19125_002E)"
0200570,2013,61719.0,12.4,"median family income, families with own children under 18 (B19125_002E)"
0200600,2013,76337.0,10.8,"median family income, families with own children under 18 (B19125_002E)"
0200610,2013,75441.0,17.1,"median family income, families with own children under 18 (B19125_002E)"
0200625,2013,56761.0,27.6,"median family income, families with own children under 18 (B19125_002E)"
0200630,2013,,0.0,"median family income, families with own children under 18 (B19125_002E)"
0200660,2013,85625.0,20.9,"median family income, families with own children under 18 (B19125_002E)"
0200670,2013,49375.0,5.0,"median family income, families with own children under 18 (B19125_002E)"
0200680,2013,58750.0,21.1,"median family income, families with own children under 18 (B19125_002E)"
0200690,2013,79861.0,1.0,"median family income, families with own children under 18 (B19125_002E)"
0200700,2013,65000.0,15.1,"median family income, families with own children under 18 (B19125_002E)"
0200710,2013,46042.0,29.8,"median family income, families with own children under 18 (B19125_002E)"
0200715,2013,45313.0,9.1,"median family income, families with own children under 18 (B19125_002E)"
0200720,2013,93958.0,4.2,"median family income, families with own children under 18 (B19125_002E)"
0200730,2013,45833.0,24.5,"median family income, families with own children under 18 (B19125_002E)"
0200760,2013,39091.0,33.4,"median family income, families with own children under 18 (B19125_002E)"
0200770,2013,123125.0,2.3,"median family income, families with own children under 18 (B19125_002E)"
0200775,2013,34583.0,41.9,"median family income, families with own children under 18 (B19125_002E)"
0200780,2013,86354.0,1.5,"median family income, families with own children under 18 (B19125_002E)"
0200800,2013,49063.0,24.7,"median family income, families with own children under 18 (B19125_002E)"
0200810,2013,45917.0,14.5,"median family income, families with own children under 18 (B19125_002E)"
0200840,2013,53438.0,9.2,"median family income, families with own children under 18 (B19125_002E)"
0200862,2013,25000.0,38.1,"median family income, families with own children under 18 (B19125_002E)"
0400004,2013,64542.0,25.4,"median family income, families with own children under 18 (B19125_002E)"
0400005,2013,36109.0,47.7,"median family income, families with own children under 18 (B19125_002E)"
0400022,2013,79444.0,35.2,"median family income, families with own children under 18 (B19125_002E)"
0400480,2013,40250.0,40.1,"median family income, families with own children under 18 (B19125_002E)"
0400600,2013,25807.0,52.7,"median family income, families with own children under 18 (B19125_002E)"
0400630,2013,,0.0,"median family income, families with own children under 18 (B19125_002E)"
0400750,2013,,100.0,"median family income, families with own children under 18 (B19125_002E)"
0400840,2013,35982.0,56.4,"median family income, families with own children under 18 (B19125_002E)"
0400870,2013,19583.0,70.2,"median family income, families with own children under 18 (B19125_002E)"
0400960,2013,53050.0,24.0,"median family income, families with own children under 18 (B19125_002E)"
0401050,2013,24286.0,58.6,"median family income, families with own children under 18 (B19125_002E)"
0401080,2013,44076.0,34.6,"median family income, families with own children under 18 (B19125_002E)"
0401230,2013,,,"median family income, families with own children under 18 (B19125_002E)"
0401260,2013,72778.0,1.7,"median family income, families with own children under 18 (B19125_002E)"
0401290,2013,,14.8,"median family income, families with own children under 18 (B19125_002E)"
0401380,2013,54599.0,24.0,"median family income, families with own children under 18 (B19125_002E)"
0401500,2013,30730.0,41.1,"median family income, families with own children under 18 (B19125_002E)"
0401650,2013,39356.0,5.7,"median family income, families with own children under 18 (B19125_002E)"
0401680,2013,27363.0,49.5,"median family income, families with own children under 18 (B19125_002E)"
0401710,2013,44870.0,22.8,"median family income, families with own children under 18 (B19125_002E)"
0401920,2013,,78.3,"median family income, families with own children under 18 (B19125_002E)"
0402130,2013,31875.0,47.2,"median family income, families with own children under 18 (B19125_002E)"
0402190,2013,30208.0,48.6,"median family income, families with own children under 18 (B19125_002E)"
0402220,2013,34261.0,29.9,"median family income, families with own children under 18 (B19125_002E)"
0402250,2013,51563.0,2.5,"median family income, families with own children under 18 (B19125_002E)"
0402370,2013,39072.0,22.0,"median family income, families with own children under 18 (B19125_002E)"
0402400,2013,50356.0,26.0,"median family income, families with own children under 18 (B19125_002E)"
0402430,2013,28636.0,47.5,"median family income, families with own children under 18 (B19125_002E)"
0402460,2013,,,"median family income, families with own children under 18 (B19125_002E)"
0402490,2013,54375.0,30.3,"median family income, families with own children under 18 (B19125_002E)"
0402710,2013,,,"median family income, families with own children under 18 (B19125_002E)"
0402760,2013,43550.0,25.1,"median family income, families with own children under 18 (B19125_002E)"
0402790,2013,22929.0,58.0,"median family income, families with own children under 18 (B19125_002E)"
0402820,2013,59531.0,0.0,"median family income, families with own children under 18 (B19125_002E)"
0403060,2013,36728.0,32.0,"median family income, families with own children under 18 (B19125_002E)"
0403240,2013,32057.0,38.8,"median family income, families with own children under 18 (B19125_002E)"
0403420,2013,31256.0,40.3,"median family income, families with own children under 18 (B19125_002E)"
0403660,2013,28500.0,41.1,"median family income, families with own children under 18 (B19125_002E)"
0403900,2013,26364.0,47.8,"median family income, families with own children under 18 (B19125_002E)"
0403960,2013,23049.0,59.4,"median family income, families with own children under 18 (B19125_002E)"
0404170,2013,73000.0,40.2,"median family income, families with own children under 18 (B19125_002E)"
0404200,2013,,,"median family income, families with own children under 18 (B19125_002E)"
0404230,2013,90092.0,9.3,"median family income, families with own children under 18 (B19125_002E)"
0404290,2013,59482.0,20.9,"median family income, families with own children under 18 (B19125_002E)"
0404320,2013,73684.0,10.6,"median family income, families with own children under 18 (B19125_002E)"
0404380,2013,72874.0,14.2,"median family income, families with own children under 18 (B19125_002E)"
0404440,2013,58469.0,15.3,"median family income, families with own children under 18 (B19125_002E)"
0404500,2013,69639.0,19.8,"median family income, families with own children under 18 (B19125_002E)"
0404530,2013,75893.0,8.5,"median family income, families with own children under 18 (B19125_002E)"
0404770,2013,54211.0,36.2,"median family income, families with own children under 18 (B19125_002E)"
0404860,2013,15750.0,71.8,"median family income, families with own children under 18 (B19125_002E)"
0404920,2013,41333.0,8.9,"median family income, families with own children under 18 (B19125_002E)"
0405100,2013,,42.9,"median family income, families with own children under 18 (B19125_002E)"
0405190,2013,55478.0,30.1,"median family income, families with own children under 18 (B19125_002E)"
0405220,2013,35542.0,20.1,"median family income, families with own children under 18 (B19125_002E)"
0405340,2013,60643.0,22.4,"median family income, families with own children under 18 (B19125_002E)"
0405400,2013,22625.0,62.5,"median family income, families with own children under 18 (B19125_002E)"
0405430,2013,38854.0,42.6,"median family income, families with own children under 18 (B19125_002E)"
0405640,2013,56406.0,11.5,"median family income, families with own children under 18 (B19125_002E)"
0405670,2013,28537.0,48.7,"median family income, families with own children under 18 (B19125_002E)"
0405730,2013,67083.0,0.0,"median family income, families with own children under 18 (B19125_002E)"
0405760,2013,21875.0,62.7,"median family income, families with own children under 18 (B19125_002E)"
0405850,2013,58750.0,24.1,"median family income, families with own children under 18 (B19125_002E)"
0405880,2013,56794.0,28.3,"median family income, families with own children under 18 (B19125_002E)"
0406000,2013,31838.0,30.6,"median family income, families with own children under 18 (B19125_002E)"
0406150,2013,54688.0,36.4,"median family income, families with own children under 18 (B19125_002E)"
0406210,2013,49410.0,22.1,"median family income, families with own children under 18 (B19125_002E)"
0406300,2013,21045.0,58.7,"median family income, families with own children under 18 (B19125_002E)"
0406360,2013,44375.0,29.1,"median family income, families with own children under 18 (B19125_002E)"
0406510,2013,44634.0,0.0,"median family income, families with own children under 18 (B19125_002E)"
0406630,2013,52589.0,11.1,"median family income, families with own children under 18 (B19125_002E)"
0406780,2013,85382.0,8.0,"median family income, families with own children under 18 (B19125_002E)"
0406900,2013,61250.0,16.6,"median family income, families with own children under 18 (B19125_002E)"
0406930,2013,,0.0,"median family income, families with own children under 18 (B19125_002E)"
0407020,2013,39500.0,24.2,"median family income, families with own children under 18 (B19125_002E)"
0407080,2013,34253.0,37.8,"median family income, families with own children under 18 (B19125_002E)"
0407140,2013,,0.0,"median family income, families with own children under 18 (B19125_002E)"
0407200,2013,25189.0,58.7,"median family income, families with own children under 18 (B19125_002E)"
0407380,2013,,33.3,"median family income, families with own children under 18 (B19125_002E)"
0407500,2013,43468.0,30.0,"median family income, families with own children under 18 (B19125_002E)"
0407680,2013,,0.0,"median family income, families with own children under 18 (B19125_002E)"
0407770,2013,51563.0,0.0,"median family income, families with own children under 18 (B19125_002E)"
0407860,2013,39868.0,41.1,"median family income, families with own children under 18 (B19125_002E)"
0407890,2013,33203.0,39.2,"median family income, families with own children under 18 (B19125_002E)"
0407920,2013,88750.0,9.8,"median family income, families with own children under 18 (B19125_002E)"
0408130,2013,29355.0,56.2,"median family income, families with own children under 18 (B19125_002E)"
0408310,2013,36625.0,35.6,"median family income, families with own children under 18 (B19125_002E)"
0408430,2013,32679.0,10.4,"median family income, families with own children under 18 (B19125_002E)"
0408460,2013,,0.0,"median family income, families with own children under 18 (B19125_002E)"
0408490,2013,42648.0,26.5,"median family income, families with own children under 18 (B19125_002E)"
0408550,2013,40129.0,21.7,"median family income, families with own children under 18 (B19125_002E)"
0408640,2013,60844.0,11.3,"median family income, families with own children under 18 (B19125_002E)"
0408820,2013,47121.0,17.6,"median family income, families with own children under 18 (B19125_002E)"
0408880,2013,47500.0,5.7,"median family income, families with own children under 18 (B19125_002E)"
0409030,2013,,66.7,"median family income, families with own children under 18 (B19125_002E)"
0409060,2013,40062.0,33.6,"median family income, families with own children under 18 (B19125_002E)"
0409090,2013,38563.0,17.7,"median family income, families with own children under 18 (B19125_002E)"
0409120,2013,30109.0,61.1,"median family income, families with own children under 18 (B19125_002E)"
0409360,2013,45938.0,21.4,"median family income, families with own children under 18 (B19125_002E)"
0409390,2013,12679.0,81.3,"median family income, families with own children under 18 (B19125_002E)"
0409510,2013,49219.0,7.6,"median family income, families with own children under 18 (B19125_002E)"
0409540,2013,,0.0,"median family income, families with own children under 18 (B19125_002E)"
0409570,2013,,0.0,"median family income, families with own children under 18 (B19125_002E)"
0409600,2013,43784.0,23.8,"median family income, families with own children under 18 (B19125_002E)"
0400082,2013,35018.0,36.5,"median family income, families with own children under 18 (B19125_002E)"
0400450,2013,62368.0,18.6,"median family income, families with own children under 18 (B19125_002E)"
0400720,2013,36773.0,20.5,"median family income, families with own children under 18 (B19125_002E)"
0401160,2013,38060.0,34.0,"median family income, families with own children under 18 (B19125_002E)"
0401410,2013,62973.0,19.8,"median family income, families with own children under 18 (B19125_002E)"
0401740,2013,42626.0,27.8,"median family income, families with own children under 18 (B19125_002E)"
0403450,2013,35446.0,35.9,"median family income, families with own children under 18 (B19125_002E)"
0405070,2013,39740.0,22.2,"median family income, families with own children under 18 (B19125_002E)"
0406030,2013,77031.0,16.1,"median family income, families with own children under 18 (B19125_002E)"
0406330,2013,30528.0,46.2,"median family income, families with own children under 18 (B19125_002E)"
0407530,2013,32488.0,46.0,"median family income, families with own children under 18 (B19125_002E)"
0408340,2013,65697.0,19.9,"median family income, families with own children under 18 (B19125_002E)"
0408520,2013,47089.0,22.2,"median family income, families with own children under 18 (B19125_002E)"
0408910,2013,43050.0,39.7,"median family income, families with own children under 18 (B19125_002E)"
0409630,2013,40299.0,29.1,"median family income, families with own children under 18 (B19125_002E)"
0400001,2013,119174.0,5.3,"median family income, families with own children under 18 (B19125_002E)"
0400003,2013,54659.0,29.2,"median family income, families with own children under 18 (B19125_002E)"
0400021,2013,29333.0,57.7,"median family income, families with own children under 18 (B19125_002E)"
0400023,2013,26850.0,54.6,"median family income, families with own children under 18 (B19125_002E)"
0400026,2013,24432.0,36.9,"median family income, families with own children under 18 (B19125_002E)"
0400212,2013,36399.0,20.7,"median family income, families with own children under 18 (B19125_002E)"
0400295,2013,43757.0,26.9,"median family income, families with own children under 18 (B19125_002E)"
0400520,2013,68073.0,28.3,"median family income, families with own children under 18 (B19125_002E)"
0400680,2013,57784.0,23.4,"median family income, families with own children under 18 (B19125_002E)"
0400790,2013,47769.0,30.9,"median family income, families with own children under 18 (B19125_002E)"
0400910,2013,22660.0,75.8,"median family income, families with own children under 18 (B19125_002E)"
0401000,2013,64076.0,1.3,"median family income, families with own children under 18 (B19125_002E)"
0401180,2013,27031.0,39.6,"median family income, families with own children under 18 (B19125_002E)"
0401330,2013,42031.0,0.0,"median family income, families with own children under 18 (B19125_002E)"
0401460,2013,62377.0,14.0,"median family income, families with own children under 18 (B19125_002E)"
0401600,2013,40195.0,31.4,"median family income, families with own children under 18 (B19125_002E)"
0401760,2013,109104.0,8.0,"median family income, families with own children under 18 (B19125_002E)"
0401810,2013,30278.0,43.5,"median family income, families with own children under 18 (B19125_002E)"
0401870,2013,86048.0,12.2,"median family income, families with own children under 18 (B19125_002E)"
0401940,2013,30673.0,49.5,"median family income, families with own children under 18 (B19125_002E)"
0402110,2013,54112.0,8.5,"median family income, families with own children under 18 (B19125_002E)"
0402320,2013,51851.0,24.1,"median family income, families with own children under 18 (B19125_002E)"
0402530,2013,28904.0,42.9,"median family income, families with own children under 18 (B19125_002E)"
0402600,2013,29344.0,36.4,"median family income, families with own children under 18 (B19125_002E)"
0402690,2013,61992.0,17.0,"median family income, families with own children under 18 (B19125_002E)"
0402860,2013,58841.0,24.4,"median family income, families with own children under 18 (B19125_002E)"
0402920,2013,55750.0,17.1,"median family income, families with own children under 18 (B19125_002E)"
0403010,2013,32488.0,35.6,"median family income, families with own children under 18 (B19125_002E)"
0403040,2013,91806.0,10.1,"median family income, families with own children under 18 (B19125_002E)"
0403080,2013,45795.0,14.8,"median family income, families with own children under 18 (B19125_002E)"
0403150,2013,52344.0,19.9,"median family income, families with own children under 18 (B19125_002E)"
0403200,2013,28750.0,54.5,"median family income, families with own children under 18 (B19125_002E)"
0403290,2013,31164.0,44.4,"median family income, families with own children under 18 (B19125_002E)"
0403310,2013,29375.0,40.7,"median family income, families with own children under 18 (B19125_002E)"
0403400,2013,81166.0,9.3,"median family income, families with own children under 18 (B19125_002E)"
0403500,2013,53875.0,27.1,"median family income, families with own children under 18 (B19125_002E)"
0403550,2013,17358.0,41.6,"median family income, families with own children under 18 (B19125_002E)"
0403730,2013,47250.0,42.9,"median family income, families with own children under 18 (B19125_002E)"
0403780,2013,81237.0,7.0,"median family income, families with own children under 18 (B19125_002E)"
0403820,2013,36250.0,43.6,"median family income, families with own children under 18 (B19125_002E)"
0403870,2013,44202.0,19.9,"median family income, families with own children under 18 (B19125_002E)"
0403950,2013,17583.0,57.1,"median family income, families with own children under 18 (B19125_002E)"
0403990,2013,53428.0,21.5,"median family income, families with own children under 18 (B19125_002E)"
0404010,2013,54875.0,47.9,"median family income, families with own children under 18 (B19125_002E)"
0404060,2013,19712.0,56.8,"median family income, families with own children under 18 (B19125_002E)"
0404280,2013,44398.0,23.5,"median family income, families with own children under 18 (B19125_002E)"
0404410,2013,47708.0,24.9,"median family income, families with own children under 18 (B19125_002E)"
0404570,2013,58279.0,17.0,"median family income, families with own children under 18 (B19125_002E)"
0404630,2013,71475.0,13.4,"median family income, families with own children under 18 (B19125_002E)"
0404720,2013,64419.0,9.0,"median family income, families with own children under 18 (B19125_002E)"
0404820,2013,20683.0,44.5,"median family income, families with own children under 18 (B19125_002E)"
0404970,2013,48096.0,24.7,"median family income, families with own children under 18 (B19125_002E)"
0405030,2013,46364.0,35.8,"median family income, families with own children under 18 (B19125_002E)"
