geoid,lat,lon,mean_sign_post,local_moran_I,quadrant,p_approx
0102850,33.14530,-85.36953,1.000,0.5819,HH,0.0000
0102880,32.26939,-85.19006,1.000,0.5819,HH,0.0000
0102910,34.50572,-87.72812,1.000,0.5819,HH,0.0000
0102940,34.64462,-86.04815,1.000,0.5819,HH,0.0000
0102970,32.41698,-87.03570,1.000,0.5819,HH,0.0000
0103000,34.75549,-87.70126,1.000,0.5819,HH,0.0000
0103030,33.25943,-86.64943,1.000,0.5819,HH,0.0000
0103062,33.77000,-86.31799,1.000,0.5819,HH,0.0000
0103090,32.59748,-88.20006,1.000,0.3438,HH,0.0000
0103120,33.18867,-86.27480,1.000,0.5819,HH,0.0000
0103180,33.36931,-86.17593,1.000,0.5819,HH,0.0000
0103210,32.86462,-85.77156,1.000,0.5819,HH,0.0000
0103240,32.54698,-85.94274,1.000,0.5819,HH,0.0000
0103270,33.59290,-86.76625,1.000,0.5819,HH,0.0000
0103330,31.80196,-85.96713,1.000,0.5819,HH,0.0000
0103360,33.23440,-87.52830,1.000,0.5819,HH,0.0000
0103390,33.32137,-87.45660,1.000,0.5819,HH,0.0000
0103430,33.46250,-86.73951,1.000,0.5819,HH,0.0000
0103450,33.79156,-87.30109,1.000,0.5819,HH,0.0000
0103480,31.40850,-88.21240,1.000,0.3438,HH,0.0000
0103510,31.99008,-87.30493,1.000,0.5819,HH,0.0000
0103540,33.91953,-87.80903,1.000,0.5819,HH,0.0000
0103580,34.14623,-87.33768,1.000,0.5819,HH,0.0000
0400001,33.76823,-111.85884,0.333,0.0048,LL,0.0000
0400003,34.86631,-112.45958,0.333,0.0048,LL,0.0000
0400212,32.15457,-110.23233,0.333,0.0048,LL,0.0000
0400600,33.50856,-112.13646,0.333,0.0048,LL,0.0000
0400790,33.38448,-111.42220,0.333,0.0048,LL,0.0000
0401050,33.46186,-111.97358,0.333,0.0048,LL,0.0000
0401180,31.47233,-109.83012,0.333,0.0048,LL,0.0000
0401460,31.52118,-110.21647,0.333,0.0048,LL,0.0000
0401600,34.48652,-111.78564,0.333,0.0048,LL,0.0000
0401680,33.48572,-112.19737,0.333,0.0048,LL,0.0000
0401710,32.83649,-111.79095,0.333,0.0048,LL,0.0000
0401870,33.25958,-111.81056,0.333,0.0048,LL,0.0000
0402320,33.01197,-111.58825,0.333,0.0048,LL,0.0000
0402370,34.84577,-112.04056,0.333,0.0048,LL,0.0000
0402400,32.67270,-114.68936,0.333,0.0048,LL,0.0000
0402430,33.49316,-112.01406,0.333,0.0048,LL,0.0000
0402530,31.42768,-109.27182,0.333,0.0048,LL,0.0000
0402600,32.75099,-109.19665,0.333,0.0048,LL,0.0000
0402690,33.62841,-112.41610,0.333,0.0048,LL,0.0000
0402790,32.61332,-111.59638,0.333,0.0048,LL,0.0000
0402860,35.15677,-111.34762,0.333,0.0048,LL,0.0000
0402920,32.94993,-111.22839,0.333,0.0048,LL,0.0000
0403060,33.43377,-112.21520,0.333,0.0048,LL,0.0000
0403150,31.56730,-110.33023,0.333,0.0048,LL,0.0000
0403240,32.53248,-114.77398,0.333,0.0048,LL,0.0000
0403400,33.34805,-111.72698,0.333,0.0048,LL,0.0000
0403420,33.54022,-112.19696,0.333,0.0048,LL,0.0000
0403500,33.46737,-110.78486,0.333,0.0048,LL,0.0000
0403780,33.28983,-111.70558,0.333,0.0048,LL,0.0000
0403820,35.13096,-110.07144,0.333,0.0048,LL,0.0000
0403870,34.57992,-112.17366,0.333,0.0048,LL,0.0000
0403960,33.46670,-112.14373,0.333,0.0048,LL,0.0000
0404230,33.28303,-112.01466,0.333,0.0048,LL,0.0000
0404290,33.36433,-112.16005,0.333,0.0048,LL,0.0000
0404380,33.50088,-112.41382,0.333,0.0048,LL,0.0000
0404500,33.52581,-112.04582,0.333,0.0048,LL,0.0000
0404720,33.03614,-112.07998,0.333,0.0048,LL,0.0000
0404970,33.45446,-111.72367,0.333,0.0048,LL,0.0000
0405030,33.51886,-110.95820,0.333,0.0048,LL,0.0000
0405320,33.10284,-109.19068,0.333,0.0048,LL,0.0000
0405400,33.43144,-112.12373,0.333,0.0048,LL,0.0000
0405460,33.78770,-112.48511,0.333,0.0048,LL,0.0000
0405670,33.49607,-112.07895,0.333,0.0048,LL,0.0000
0405820,36.70947,-111.27337,0.333,0.0048,LL,0.0000
0405850,33.40044,-112.68440,0.333,0.0048,LL,0.0000
0405880,31.43125,-110.13183,0.333,0.0048,LL,0.0000
0405930,33.65345,-111.97998,0.333,0.0048,LL,0.0000
0405980,34.14278,-113.85325,0.333,0.0048,LL,0.0000
0406070,34.23083,-111.26848,0.333,0.0048,LL,0.0000
0406210,33.49863,-112.27646,0.333,0.0048,LL,0.0000
0406250,33.72186,-112.29160,0.333,0.0048,LL,0.0000
0406300,33.45308,-112.07834,0.333,0.0048,LL,0.0000
0406440,33.06989,-109.84987,0.333,0.0048,LL,0.0000
0406580,34.15912,-109.92735,0.333,0.0048,LL,0.0000
0406730,34.56210,-112.48370,0.333,0.0048,LL,0.0000
0406740,35.18514,-109.44503,0.333,0.0048,LL,0.0000
0406810,33.26969,-111.62960,0.333,0.0048,LL,0.0000
0406870,36.72664,-109.53267,0.333,0.0048,LL,0.0000
0407020,33.42414,-112.17039,0.333,0.0048,LL,0.0000
0407080,33.38652,-112.06768,0.333,0.0048,LL,0.0000
0407130,33.99290,-109.44598,0.333,0.0048,LL,0.0000
0407170,33.54678,-112.86340,0.333,0.0048,LL,0.0000
0407570,33.58163,-111.88675,0.333,0.0048,LL,0.0000
0407700,34.31514,-110.13739,0.333,0.0048,LL,0.0000
0407750,33.83848,-112.12834,0.333,0.0048,LL,0.0000
0407820,34.53934,-110.15038,0.333,0.0048,LL,0.0000
0407890,32.53960,-114.70566,0.333,0.0048,LL,0.0000
0408080,34.67923,-109.40266,0.333,0.0048,LL,0.0000
0408230,33.33928,-111.11590,0.333,0.0048,LL,0.0000
0408310,33.40629,-111.93785,0.333,0.0048,LL,0.0000
0408490,33.45596,-112.25865,0.333,0.0048,LL,0.0000
0408550,32.75694,-111.68512,0.333,0.0048,LL,0.0000
0408600,31.70711,-110.06101,0.333,0.0048,LL,0.0000
0408680,36.06180,-111.20786,0.333,0.0048,LL,0.0000
0408820,33.35058,-112.25809,0.333,0.0048,LL,0.0000
0409060,33.58939,-112.11319,0.333,0.0048,LL,0.0000
0409160,33.97935,-110.33110,0.333,0.0048,LL,0.0000
0409190,33.85467,-112.80703,0.333,0.0048,LL,0.0000
0409250,32.20038,-109.80169,0.333,0.0048,LL,0.0000
0409390,33.43616,-112.02335,0.333,0.0048,LL,0.0000
0409430,35.65335,-109.16512,0.333,0.0048,LL,0.0000
0409460,35.10171,-110.61381,0.333,0.0048,LL,0.0000
0600006,37.99338,-122.59295,0.333,0.0048,LL,0.0000
0600013,38.80804,-121.25036,0.333,0.0048,LL,0.0000
0600014,34.36163,-117.33698,0.333,0.0048,LL,0.0000
0600016,34.14115,-117.65558,0.333,0.0048,LL,0.0000
0600017,34.47332,-117.14313,0.333,0.0048,LL,0.0000
0600019,37.71650,-121.90088,0.333,0.0048,LL,0.0000
0600020,37.66072,-121.89067,0.333,0.0048,LL,0.0000
0600021,37.55113,-121.80546,0.333,0.0048,LL,0.0000
0600022,36.65101,-120.50075,0.333,0.0048,LL,0.0000
0600025,33.90087,-118.42072,0.333,0.0048,LL,0.0000
0600026,34.84328,-118.98975,0.333,0.0048,LL,0.0000
0600027,33.67507,-117.34628,0.333,0.0048,LL,0.0000
0600028,33.52428,-117.04533,0.333,0.0048,LL,0.0000
0600029,33.53770,-117.28829,0.333,0.0048,LL,0.0000
0600032,33.84954,-118.40076,0.333,0.0048,LL,0.0000
0600033,36.84245,-120.69021,0.333,0.0048,LL,0.0000
0600034,38.55250,-122.80058,0.333,0.0048,LL,0.0000
0600035,36.30012,-119.20152,0.333,0.0048,LL,0.0000
0600036,38.66707,-121.56717,0.333,0.0048,LL,0.0000
0600039,37.42028,-120.77563,0.333,0.0048,LL,0.0000
0600040,36.40682,-119.91917,0.333,0.0048,LL,0.0000
0600043,37.07507,-122.00572,0.333,0.0048,LL,0.0000
0600044,38.63739,-122.88846,0.333,0.0048,LL,0.0000
0600046,36.51507,-121.42075,0.333,0.0048,LL,0.0000
0600047,37.89106,-121.47077,0.333,0.0048,LL,0.0000
0600048,35.65451,-120.70387,0.333,0.0048,LL,0.0000
0600049,35.65974,-121.13911,0.333,0.0048,LL,0.0000
0600051,39.35175,-121.74271,0.333,0.0048,LL,0.0000
0600052,40.79635,-124.14857,0.333,0.0048,LL,0.0000
0600060,37.58737,-120.84950,0.333,0.0048,LL,0.0000
0600061,37.70386,-120.88568,0.333,0.0048,LL,0.0000
0600063,37.66200,-120.72644,0.333,0.0048,LL,0.0000
0600064,36.02069,-118.65095,0.333,0.0048,LL,0.0000
0600065,36.51745,-119.39262,0.333,0.0048,LL,0.0000
0600067,36.52914,-119.84361,0.333,0.0048,LL,0.0000
0600068,36.92884,-119.84304,0.333,0.0048,LL,0.0000
0600116,37.39637,-119.40225,0.333,0.0048,LL,0.0000
0600153,34.07467,-118.13764,0.333,0.0048,LL,0.0000
0600158,37.48901,-120.82724,0.333,0.0048,LL,0.0000
0601332,38.67280,-121.38422,0.333,0.0048,LL,0.0000
0601339,39.68801,-122.03009,0.333,0.0048,LL,0.0000
0601409,37.29183,-118.13561,0.333,0.0048,LL,0.0000
0601410,37.74648,-121.52033,0.333,0.0048,LL,0.0000
0601414,34.40595,-119.70490,0.333,0.0048,LL,0.0000
0601415,36.64065,-119.85679,0.333,0.0048,LL,0.0000
0601418,36.48287,-119.04482,0.333,0.0048,LL,0.0000
0601420,40.58709,-124.14311,0.333,0.0048,LL,0.0000
0601421,34.36632,-119.07279,0.333,0.0048,LL,0.0000
0601423,36.27764,-119.02697,0.333,0.0048,LL,0.0000
0601426,33.30889,-117.15756,0.333,0.0048,LL,0.0000
0601428,33.91520,-118.37982,0.333,0.0048,LL,0.0000
0601620,33.86377,-118.06655,0.333,0.0048,LL,0.0000
0601710,34.63064,-117.52056,0.333,0.0048,LL,0.0000
0601770,37.74191,-122.25991,0.333,0.0048,LL,0.0000
0601860,37.89065,-122.31812,0.333,0.0048,LL,0.0000
0601950,36.67473,-121.52378,0.333,0.0048,LL,0.0000
0602100,32.82597,-116.70196,0.333,0.0048,LL,0.0000
0602160,34.16513,-117.59446,0.333,0.0048,LL,0.0000
0602310,37.36387,-121.71667,0.333,0.0048,LL,0.0000
0602430,33.90263,-117.48495,0.333,0.0048,LL,0.0000
0602450,38.44355,-120.65386,0.333,0.0048,LL,0.0000
0602610,33.82656,-117.91678,0.333,0.0048,LL,0.0000
0602760,40.33490,-121.70094,0.333,0.0048,LL,0.0000
0602820,34.65488,-118.14992,0.333,0.0048,LL,0.0000
0602850,37.97740,-121.80777,0.333,0.0048,LL,0.0000
0602970,34.14386,-118.03575,0.333,0.0048,LL,0.0000
0603060,38.34227,-121.17419,0.333,0.0048,LL,0.0000
0603180,36.23552,-119.70494,0.333,0.0048,LL,0.0000
0603270,34.99957,-118.76824,0.333,0.0048,LL,0.0000
0603300,35.26791,-120.10065,0.333,0.0048,LL,0.0000
0603420,37.35962,-120.61498,0.333,0.0048,LL,0.0000
0603480,38.93890,-121.12234,0.333,0.0048,LL,0.0000
0603600,34.28033,-117.86614,0.333,0.0048,LL,0.0000
0603630,35.42251,-118.88478,0.333,0.0048,LL,0.0000
0603690,34.08966,-117.96872,0.333,0.0048,LL,0.0000
0603840,33.90881,-116.76110,0.333,0.0048,LL,0.0000
0604110,34.05159,-117.98639,0.333,0.0048,LL,0.0000
0604200,37.69121,-122.39143,0.333,0.0048,LL,0.0000
0604260,35.47572,-119.06933,0.333,0.0048,LL,0.0000
0604290,33.94805,-117.01462,0.333,0.0048,LL,0.0000
0604380,38.38602,-122.70967,0.333,0.0048,LL,0.0000
0604440,33.87892,-118.12276,0.333,0.0048,LL,0.0000
0604530,37.53259,-122.24494,0.333,0.0048,LL,0.0000
0604620,38.09271,-122.13811,0.333,0.0048,LL,0.0000
0604650,38.38710,-122.63492,0.333,0.0048,LL,0.0000
0604740,37.86567,-122.29872,0.333,0.0048,LL,0.0000
0604800,37.39928,-121.84803,0.333,0.0048,LL,0.0000
0604830,34.07923,-118.40244,0.333,0.0048,LL,0.0000
0605040,39.45758,-121.75985,0.333,0.0048,LL,0.0000
0605220,40.51848,-121.75728,0.333,0.0048,LL,0.0000
0605240,38.91277,-120.63485,0.333,0.0048,LL,0.0000
0605580,34.94396,-120.44785,0.333,0.0048,LL,0.0000
0605610,34.14164,-117.78206,0.333,0.0048,LL,0.0000
0605880,33.92911,-117.84669,0.333,0.0048,LL,0.0000
0605910,37.90148,-121.74327,0.333,0.0048,LL,0.0000
0606030,34.35875,-119.13315,0.333,0.0048,LL,0.0000
0606060,37.67575,-122.38330,0.333,0.0048,LL,0.0000
0606090,39.17323,-121.80567,0.333,0.0048,LL,0.0000
0606270,38.64629,-120.97437,0.333,0.0048,LL,0.0000
0606360,33.87009,-118.00182,0.333,0.0048,LL,0.0000
0606390,35.33589,-119.12563,0.333,0.0048,LL,0.0000
0606420,36.17095,-119.43453,0.333,0.0048,LL,0.0000
0606450,34.19008,-118.32640,0.333,0.0048,LL,0.0000
0606480,37.58660,-122.36609,0.333,0.0048,LL,0.0000
0606570,36.08160,-119.07495,0.333,0.0048,LL,0.0000
0606720,35.41653,-119.52330,0.333,0.0048,LL,0.0000
0606750,37.85166,-121.66114,0.333,0.0048,LL,0.0000
0606780,37.43722,-122.43752,0.333,0.0048,LL,0.0000
0606900,32.68859,-115.51748,0.333,0.0048,LL,0.0000
0606990,33.28193,-115.56056,0.333,0.0048,LL,0.0000
0607140,37.27023,-121.93247,0.333,0.0048,LL,0.0000
0607200,37.28971,-121.95575,0.333,0.0048,LL,0.0000
0607440,33.50693,-117.62784,0.333,0.0048,LL,0.0000
0607470,33.03603,-117.29423,0.333,0.0048,LL,0.0000
0607500,33.13179,-117.32441,0.333,0.0048,LL,0.0000
0607680,40.45688,-122.30350,0.333,0.0048,LL,0.0000
0607800,37.71967,-122.04635,0.333,0.0048,LL,0.0000
0607950,34.11206,-117.59596,0.333,0.0048,LL,0.0000
0607970,36.77154,-119.92971,0.333,0.0048,LL,0.0000
0607980,36.17910,-119.84412,0.333,0.0048,LL,0.0000
0608070,33.84115,-118.01360,0.333,0.0048,LL,0.0000
0608130,37.55973,-121.02241,0.333,0.0048,LL,0.0000
0608190,34.10147,-117.85713,0.333,0.0048,LL,0.0000
0608250,37.47101,-120.96271,0.333,0.0048,LL,0.0000
0608370,39.81359,-121.77891,0.333,0.0048,LL,0.0000
0608460,33.96973,-117.69552,0.333,0.0048,LL,0.0000
0608520,37.10547,-120.19745,0.333,0.0048,LL,0.0000
0608580,36.58974,-121.47464,0.333,0.0048,LL,0.0000
0608610,32.62372,-116.96687,0.333,0.0048,LL,0.0000
0608760,34.19427,-117.71293,0.333,0.0048,LL,0.0000
0609030,36.88109,-119.62245,0.333,0.0048,LL,0.0000
0609070,33.55849,-115.84145,0.333,0.0048,LL,0.0000
0609300,39.11183,-120.87797,0.333,0.0048,LL,0.0000
0609390,34.04243,-117.32896,0.333,0.0048,LL,0.0000
0609450,40.61029,-122.30364,0.333,0.0048,LL,0.0000
0609480,38.04668,-120.40404,0.333,0.0048,LL,0.0000
0609570,39.23697,-121.99154,0.333,0.0048,LL,0.0000
0609620,33.89185,-118.23092,0.333,0.0048,LL,0.0000
0609690,35.98159,-119.61679,0.333,0.0048,LL,0.0000
0609780,39.92675,-122.24329,0.333,0.0048,LL,0.0000
0609850,33.84470,-117.53790,0.333,0.0048,LL,0.0000
0609870,32.67372,-117.16850,0.333,0.0048,LL,0.0000
0609940,38.33926,-122.70712,0.333,0.0048,LL,0.0000
0609990,40.38504,-122.48470,0.333,0.0048,LL,0.0000
0610050,34.08006,-117.88711,0.333,0.0048,LL,0.0000
0610260,34.00537,-118.39399,0.333,0.0048,LL,0.0000
0610290,37.31211,-122.07369,0.333,0.0048,LL,0.0000
0610350,36.61562,-118.69757,0.333,0.0048,LL,0.0000
0610380,40.74303,-124.12507,0.333,0.0048,LL,0.0000
0610440,33.82228,-118.04314,0.333,0.0048,LL,0.0000
0610740,32.95296,-117.25324,0.333,0.0048,LL,0.0000
0610770,41.74990,-123.98100,0.333,0.0048,LL,0.0000
0610890,35.70056,-119.06717,0.333,0.0048,LL,0.0000
0611040,37.53963,-120.66869,0.333,0.0048,LL,0.0000
0611110,33.81973,-116.11218,0.333,0.0048,LL,0.0000
0611220,38.02846,-122.52927,0.333,0.0048,LL,0.0000
0611280,38.40187,-121.79529,0.333,0.0048,LL,0.0000
0611460,33.93616,-118.13470,0.333,0.0048,LL,0.0000
0611490,38.74312,-121.33691,0.333,0.0048,LL,0.0000
0611520,34.16654,-117.95630,0.333,0.0048,LL,0.0000
0611730,39.60471,-121.79529,0.333,0.0048,LL,0.0000
0611760,35.87367,-119.28155,0.333,0.0048,LL,0.0000
0611850,33.95443,-118.00915,0.333,0.0048,LL,0.0000
0611910,34.74064,-117.89953,0.333,0.0048,LL,0.0000
0611940,35.33766,-118.81520,0.333,0.0048,LL,0.0000
0612030,32.79702,-115.56254,0.333,0.0048,LL,0.0000
0612090,34.08331,-118.02905,0.333,0.0048,LL,0.0000
0612180,33.98753,-118.09205,0.333,0.0048,LL,0.0000
0612210,33.91037,-118.42508,0.333,0.0048,LL,0.0000
0612330,38.44128,-121.27112,0.333,0.0048,LL,0.0000
0612600,38.73921,-121.48066,0.333,0.0048,LL,0.0000
0612690,37.64650,-120.86981,0.333,0.0048,LL,0.0000
0612750,33.05967,-117.28221,0.333,0.0048,LL,0.0000
0612810,40.56644,-122.34048,0.333,0.0048,LL,0.0000
0612840,37.88554,-121.02415,0.333,0.0048,LL,0.0000
0612880,33.13264,-117.08876,0.333,0.0048,LL,0.0000
0612930,38.83062,-122.12604,0.333,0.0048,LL,0.0000
0612960,34.15639,-117.51694,0.333,0.0048,LL,0.0000
0613080,38.73782,-121.18753,0.333,0.0048,LL,0.0000
0613140,37.29427,-121.75685,0.333,0.0048,LL,0.0000
0613170,40.27326,-122.59124,0.333,0.0048,LL,0.0000
0613290,35.33706,-118.93395,0.333,0.0048,LL,0.0000
0613360,38.20730,-122.02967,0.333,0.0048,LL,0.0000
0613500,33.38024,-117.39010,0.333,0.0048,LL,0.0000
0613800,34.53336,-118.90963,0.333,0.0048,LL,0.0000
0613840,36.84832,-120.43991,0.333,0.0048,LL,0.0000
0613890,38.61748,-121.18460,0.333,0.0048,LL,0.0000
0613920,34.10234,-117.45846,0.333,0.0048,LL,0.0000
0614010,38.48683,-122.90562,0.333,0.0048,LL,0.0000
0614070,39.53347,-123.68337,0.333,0.0048,LL,0.0000
0614220,33.69573,-117.96008,0.333,0.0048,LL,0.0000
0614250,36.64009,-119.68726,0.333,0.0048,LL,0.0000
0614340,39.11953,-121.70815,0.333,0.0048,LL,0.0000
0614400,37.49446,-121.94115,0.333,0.0048,LL,0.0000
0614520,40.78999,-124.04849,0.333,0.0048,LL,0.0000
0614550,36.77454,-119.78266,0.333,0.0048,LL,0.0000
0614700,35.38160,-119.08671,0.333,0.0048,LL,0.0000
0614730,33.88269,-117.93072,0.333,0.0048,LL,0.0000
0614790,38.25512,-121.31276,0.333,0.0048,LL,0.0000
0614880,33.76647,-117.95655,0.333,0.0048,LL,0.0000
0614940,34.05877,-118.09643,0.333,0.0048,LL,0.0000
0615180,37.05361,-121.44914,0.333,0.0048,LL,0.0000
0615240,34.20383,-118.25177,0.333,0.0048,LL,0.0000
0615270,34.16327,-117.84306,0.333,0.0048,LL,0.0000
0615390,38.67886,-120.71705,0.333,0.0048,LL,0.0000
0615450,38.77597,-120.92687,0.333,0.0048,LL,0.0000
0615510,34.45342,-119.88604,0.333,0.0048,LL,0.0000
0615780,39.21381,-121.05310,0.333,0.0048,LL,0.0000
0615840,38.35942,-122.78410,0.333,0.0048,LL,0.0000
0616050,35.27137,-118.99671,0.333,0.0048,LL,0.0000
0616080,36.18433,-121.34378,0.333,0.0048,LL,0.0000
0616300,34.07292,-117.56044,0.333,0.0048,LL,0.0000
0616323,37.19504,-121.02167,0.333,0.0048,LL,0.0000
0616325,34.01322,-117.96439,0.333,0.0048,LL,0.0000
0616470,36.33093,-119.65050,0.333,0.0048,LL,0.0000
0616570,40.45722,-122.42183,0.333,0.0048,LL,0.0000
0616620,38.38193,-122.99351,0.333,0.0048,LL,0.0000
0616680,33.91589,-118.34527,0.333,0.0048,LL,0.0000
0616830,32.73284,-115.51157,0.333,0.0048,LL,0.0000
0616860,34.76068,-117.35010,0.333,0.0048,LL,0.0000
0616920,33.60557,-116.78186,0.333,0.0048,LL,0.0000
0617040,33.86982,-118.40530,0.333,0.0048,LL,0.0000
0617190,37.55698,-122.35827,0.333,0.0048,LL,0.0000
0617220,37.34566,-120.86354,0.333,0.0048,LL,0.0000
0617340,36.83263,-121.39398,0.333,0.0048,LL,0.0000
0617430,32.88227,-115.20727,0.333,0.0048,LL,0.0000
0617490,34.41983,-119.76643,0.333,0.0048,LL,0.0000
0617850,34.14532,-119.21657,0.333,0.0048,LL,0.0000
0618030,33.67386,-118.02556,0.333,0.0048,LL,0.0000
0618210,32.82861,-115.80962,0.333,0.0048,LL,0.0000
0618390,33.96121,-118.34590,0.333,0.0048,LL,0.0000
0618660,40.82875,-124.03006,0.333,0.0048,LL,0.0000
0618690,37.84753,-120.48656,0.333,0.0048,LL,0.0000
0618730,32.69434,-116.77551,0.333,0.0048,LL,0.0000
